symbol,ppo,ppo_slope,rs_level_3m,rs_momentum,regime_bull,above_50,above_200,breakout_20,breakout_55,dist_52w,bbw_pct,adx,adx_rising,di_plus_gt,pct_above50_last21,rs_vs_bench,sharpe,leaders_score,nextup_score
^CNXPHARMA,0.006876,0.000128,-0.022061,-0.000412,1,1,1,0,0,-0.029117,0.126984,18.506592,0,1,1.000000,-0.002982,0.315351,13.050000,10.750000
^CNXENERGY,0.006545,0.000315,-0.007210,0.000189,1,1,1,0,0,-0.047208,0.285714,18.445205,0,1,1.000000,-0.012773,0.293995,12.600000,8.700000
NIFTY_FIN_SERVICE.NS,0.005878,0.000296,-0.002813,0.000217,1,1,1,0,0,0.000000,0.031746,37.209882,0,0,1.000000,0.000784,0.441453,12.150000,5.350000
^CNXAUTO,0.005610,-0.000296,0.077840,0.000308,1,1,1,0,0,-0.000455,0.396825,18.246421,0,1,0.904762,0.094733,0.450096,11.400000,10.550000
^CNXREALTY,0.009060,0.000632,0.009748,0.000013,1,1,1,0,0,-0.154919,0.007937,45.108805,0,0,1.000000,0.003264,0.193669,10.150000,3.900000
^NSEBANK,0.009500,0.000396,0.011260,0.001097,1,1,1,0,0,0.000000,0.055556,33.705248,0,0,1.000000,0.018680,0.365995,10.050000,3.650000
^CNXINFRA,0.009760,0.000296,0.011964,0.000116,1,1,1,0,0,-0.001113,0.325397,43.864705,0,1,1.000000,0.019458,0.259383,9.650000,9.800000
^CNXMETAL,0.009604,0.000245,0.062852,0.000553,1,1,1,0,0,-0.026133,0.547619,26.521739,0,0,1.000000,0.083660,0.165426,9.350000,6.250000
^CNXFMCG,-0.001052,-0.000042,-0.042116,-0.002119,0,0,1,0,0,-0.040522,0.158730,41.574822,1,0,0.571429,-0.054241,0.399246,9.250000,15.950000
^CNXMEDIA,-0.016252,-0.000093,-0.154012,-0.000155,0,0,0,0,0,-0.287099,0.769841,36.267867,0,0,0.000000,-0.159447,-0.145430,8.850000,9.000000
^CNXIT,0.007604,0.000282,-0.007700,-0.000807,0,1,0,0,0,-0.209163,0.206349,17.894422,0,0,0.809524,-0.044956,0.071846,8.350000,7.550000
^CNXPSUBANK,0.027202,0.000612,0.145276,0.000823,1,1,1,0,0,0.000000,0.777778,45.729829,1,1,1.000000,0.197425,0.081392,7.550000,15.100000
