,price_latest
NIFTY_FIN_SERVICE.NS,27646.20
^CNXAUTO,27472.65
^CNXENERGY,36441.85
^CNXFMCG,55677.15
^CNXINFRA,9651.10
^CNXIT,36375.20
^CNXMEDIA,1485.65
^CNXMETAL,10495.85
^CNXPHARMA,22867.60
^CNXPSUBANK,8491.65
^CNXREALTY,945.35
^NSEBANK,58962.70
^NSEI,26013.45
