symbol,ppo,ppo_slope,rs_level_3m,rs_momentum,regime_bull,above_50,above_200,breakout_20,breakout_55,dist_52w,bbw_pct,adx,adx_rising,di_plus_gt,pct_above50_last21
NIFTY_FIN_SERVICE.NS,0.005878,0.000296,-0.002813,0.000217,1,1,1,0,0,0.000000,0.031746,37.209882,0,0,1.000000
^CNXAUTO,0.005610,-0.000296,0.077840,0.000308,1,1,1,0,0,-0.045479,0.396825,18.246421,0,1,0.904762
^CNXENERGY,0.006545,0.000315,-0.007210,0.000189,1,1,1,0,0,-4.720832,0.285714,18.445205,0,1,1.000000
^CNXFMCG,-0.001052,-0.000042,-0.042116,-0.002119,0,0,1,0,0,-4.052231,0.158730,41.574822,1,0,0.571429
^CNXINFRA,0.009760,0.000296,0.011964,0.000116,1,1,1,0,0,-0.111262,0.325397,43.864705,0,1,1.000000
^CNXIT,0.007604,0.000282,-0.007700,-0.000807,0,1,0,0,0,-20.916261,0.206349,17.894422,0,0,0.809524
^CNXMEDIA,-0.016252,-0.000093,-0.154012,-0.000155,0,0,0,0,0,-28.709899,0.769841,36.267867,0,0,0.000000
^CNXMETAL,0.009604,0.000245,0.062852,0.000553,1,1,1,0,0,-2.613318,0.547619,26.521739,0,0,1.000000
^CNXPHARMA,0.006876,0.000128,-0.022061,-0.000412,1,1,1,0,0,-2.911685,0.126984,18.506592,0,1,1.000000
^CNXPSUBANK,0.027202,0.000612,0.145276,0.000823,1,1,1,0,0,0.000000,0.777778,45.729829,1,1,1.000000
^CNXREALTY,0.009060,0.000632,0.009748,0.000013,1,1,1,0,0,-15.491892,0.007937,45.108805,0,0,1.000000
^NSEBANK,0.009500,0.000396,0.011260,0.001097,1,1,1,0,0,0.000000,0.055556,33.705248,0,0,1.000000
