,price_latest,ret_1w,ret_1m,ret_3m,ret_6m,ret_1y,ret_ytd,vol_ann,cagr,sharpe,rs_vs_bench,rank_ret_1m,rank_ret_3m,rank_ret_6m,rank_ret_1y,score_composite,score_percentile
^CNXPSUBANK,8491.65,1.81,9.95,21.01,28.11,24.05,29.83,32.85,8.85,0.08,19.74,1.00,1.00,1.00,1.00,1.00,8.33
^CNXAUTO,27472.65,2.28,2.86,13.89,14.69,15.41,20.31,21.12,16.36,0.45,9.47,7.00,2.00,2.00,3.00,3.40,16.67
^CNXINFRA,9651.10,2.44,4.60,6.93,6.60,10.81,14.03,19.88,11.52,0.26,1.95,2.00,4.00,4.00,6.00,3.80,25.00
^NSEBANK,58962.70,1.77,3.81,6.85,6.52,14.35,15.93,23.03,15.14,0.37,1.87,3.00,5.00,5.00,4.00,4.35,33.33
^CNXMETAL,10495.85,0.11,2.72,12.30,14.06,12.75,21.34,27.78,10.91,0.17,8.37,9.00,3.00,3.00,5.00,4.80,41.67
^CNXREALTY,945.35,0.13,3.27,6.69,3.59,-2.30,-10.17,31.53,12.56,0.19,0.33,5.00,6.00,8.00,8.00,6.55,50.00
NIFTY_FIN_SERVICE.NS,27646.20,1.25,2.12,5.37,4.43,15.99,17.58,21.57,16.38,0.44,0.08,10.00,7.00,7.00,2.00,7.00,58.33
^CNXPHARMA,22867.60,2.18,3.67,3.33,5.71,1.44,-2.33,18.64,12.31,0.32,-0.30,4.00,10.00,6.00,7.00,7.05,66.67
^CNXENERGY,36441.85,1.45,3.17,4.90,2.18,-5.11,3.56,20.84,12.58,0.29,-1.28,6.00,8.00,9.00,10.00,8.05,75.00
^CNXIT,36375.20,1.92,2.75,4.85,-4.21,-13.50,-16.07,95.61,13.40,0.07,-4.50,8.00,9.00,11.00,11.00,9.55,83.33
^CNXFMCG,55677.15,0.62,1.70,1.21,-2.43,-4.60,-1.98,16.50,13.09,0.40,-5.42,11.00,11.00,10.00,9.00,10.45,91.67
^CNXMEDIA,1485.65,0.78,-3.48,-10.61,-11.64,-24.23,-18.27,26.45,2.13,-0.15,-15.94,12.00,12.00,12.00,12.00,12.00,100.00
