Month,PortNet
2010-01-31 23:59:59.999999999,0.019037259686426056
2010-02-28 23:59:59.999999999,0.04947561306620912
2010-03-31 23:59:59.999999999,0.032297776903933706
2010-04-30 23:59:59.999999999,-0.04486360915376003
2010-05-31 23:59:59.999999999,0.019322936997894613
2010-06-30 23:59:59.999999999,0.04966208420134016
2010-07-31 23:59:59.999999999,0.008614565949937572
2010-08-31 23:59:59.999999999,0.11755633518943837
2010-09-30 23:59:59.999999999,-0.012306998290099125
2010-10-31 23:59:59.999999999,-0.025617161647189173
2010-11-30 23:59:59.999999999,0.04097150038907669
2010-12-31 23:59:59.999999999,-0.09611926203270017
2011-01-31 23:59:59.999999999,-0.005839294240684171
2011-02-28 23:59:59.999999999,0.13553271552004093
2011-03-31 23:59:59.999999999,-0.0006312698623428718
2011-04-30 23:59:59.999999999,0.0176254170300786
2011-05-31 23:59:59.999999999,0.04812574946715411
2011-06-30 23:59:59.999999999,-0.0010545669110835392
2011-07-31 23:59:59.999999999,-0.0767226138901666
2011-08-31 23:59:59.999999999,0.013247346254750306
2011-09-30 23:59:59.999999999,0.09506640887959555
2011-10-31 23:59:59.999999999,-0.06361240069424018
2011-11-30 23:59:59.999999999,-0.011392265024475082
2011-12-31 23:59:59.999999999,0.18884088396287585
2012-01-31 23:59:59.999999999,0.04235329482859105
2012-02-29 23:59:59.999999999,0.02605822055775492
2012-03-31 23:59:59.999999999,0.040332838393372185
2012-04-30 23:59:59.999999999,-0.04011429044265267
2012-05-31 23:59:59.999999999,0.0645272225671511
2012-06-30 23:59:59.999999999,0.017509806602428273
2012-07-31 23:59:59.999999999,0.038503170749202086
2012-08-31 23:59:59.999999999,0.07471968167084563
2012-09-30 23:59:59.999999999,0.007573249280116065
2012-10-31 23:59:59.999999999,0.07082020652617606
2012-11-30 23:59:59.999999999,0.045118842357342925
2012-12-31 23:59:59.999999999,0.012797287633272167
2013-01-31 23:59:59.999999999,-0.00781168760081687
2013-02-28 23:59:59.999999999,0.03147548775675226
2013-03-31 23:59:59.999999999,0.08376715821392709
2013-04-30 23:59:59.999999999,0.04574230683183287
2013-05-31 23:59:59.999999999,0.002155341752713425
2013-06-30 23:59:59.999999999,0.09062148904881308
2013-07-31 23:59:59.999999999,0.021639584601299167
2013-08-31 23:59:59.999999999,0.06633947024059574
2013-09-30 23:59:59.999999999,0.14939123951388553
2013-10-31 23:59:59.999999999,0.010155136958276023
2013-11-30 23:59:59.999999999,0.038798045550690975
2013-12-31 23:59:59.999999999,0.00043391461671395636
2014-01-31 23:59:59.999999999,0.043947454252590334
2014-02-28 23:59:59.999999999,0.10064891474484307
2014-03-31 23:59:59.999999999,0.026627375416477066
2014-04-30 23:59:59.999999999,0.06989772035101248
2014-05-31 23:59:59.999999999,0.08639370160271381
2014-06-30 23:59:59.999999999,0.05071257550575605
2014-07-31 23:59:59.999999999,0.07547970037033581
2014-08-31 23:59:59.999999999,0.05359330604688867
2014-09-30 23:59:59.999999999,0.05108969758821678
2014-10-31 23:59:59.999999999,0.05306620377623478
2014-11-30 23:59:59.999999999,0.0033588390824279006
2014-12-31 23:59:59.999999999,0.10360013780209819
2015-01-31 23:59:59.999999999,0.011148960040620215
2015-02-28 23:59:59.999999999,0.02070268763122875
2015-03-31 23:59:59.999999999,-0.043702682303997376
2015-04-30 23:59:59.999999999,0.036683208409057165
2015-05-31 23:59:59.999999999,0.00531952378941386
2015-06-30 23:59:59.999999999,0.03686297978862465
2015-07-31 23:59:59.999999999,-0.007013608399696539
2015-08-31 23:59:59.999999999,0.05631508517475716
2015-09-30 23:59:59.999999999,0.05579512082627756
2015-10-31 23:59:59.999999999,0.01936050862488668
2015-11-30 23:59:59.999999999,0.044437747629080725
2015-12-31 23:59:59.999999999,-0.008897081820479638
2016-01-31 23:59:59.999999999,-0.03960844182222454
2016-02-29 23:59:59.999999999,0.15572339713079922
2016-03-31 23:59:59.999999999,0.08439005264965292
2016-04-30 23:59:59.999999999,0.13565733394991558
2016-05-31 23:59:59.999999999,0.049270124106566816
2016-06-30 23:59:59.999999999,0.06860760277110683
2016-07-31 23:59:59.999999999,0.04495205262187957
2016-08-31 23:59:59.999999999,-6.730022200490638e-05
2016-09-30 23:59:59.999999999,0.0325500632321189
2016-10-31 23:59:59.999999999,0.014071652263140277
2016-11-30 23:59:59.999999999,2.8643884167048874
2016-12-31 23:59:59.999999999,0.03610545916738522
2017-01-31 23:59:59.999999999,0.07909614451559223
2017-02-28 23:59:59.999999999,0.06283142804797791
2017-03-31 23:59:59.999999999,0.07787668801657549
2017-04-30 23:59:59.999999999,0.01661579212893703
2017-05-31 23:59:59.999999999,0.03529655648700516
2017-06-30 23:59:59.999999999,0.0791979201595834
2017-07-31 23:59:59.999999999,0.026807449054966587
2017-08-31 23:59:59.999999999,0.01589480397374719
2017-09-30 23:59:59.999999999,0.10385435781068603
2017-10-31 23:59:59.999999999,0.014088642225296285
2017-11-30 23:59:59.999999999,0.05112746797729382
2017-12-31 23:59:59.999999999,0.027431561044074237
2018-01-31 23:59:59.999999999,-0.025645977382557045
2018-02-28 23:59:59.999999999,-0.023131147117146606
2018-03-31 23:59:59.999999999,0.10056130262593031
2018-04-30 23:59:59.999999999,0.002579895950590624
2018-05-31 23:59:59.999999999,0.031242409676261518
2018-06-30 23:59:59.999999999,0.0489294899082921
2018-07-31 23:59:59.999999999,0.0490093458343574
2018-08-31 23:59:59.999999999,-0.05736635220423264
2018-09-30 23:59:59.999999999,-0.0014845187614070383
2018-10-31 23:59:59.999999999,0.06145562796609274
