Date,Symbol,Price,Ret1M,MOM_3,MOM_6,MOM_12,VOL_6,VOL_12,RSI_14,MACD,MACD_SIG,MACD_HIST,RS,RS_MOM_3,RS_MOM_6,RS_MOM_12,BETA_12,Regime,Label,Proba,Month,NextRet
2010-01-31 00:00:00+05:30,^CNXAUTO,,,,,,,,,,,,,,,,,,0,0.054422514273533694,2010-01,
2010-02-28 00:00:00+05:30,^CNXAUTO,,,,,,,,,,,,,,,,,0.0,0,0.054422514273533694,2010-02,
2010-03-31 00:00:00+05:30,^CNXAUTO,,,,,,,,,,,,,,,,,1.0,0,0.055215124676308035,2010-03,
2010-04-30 00:00:00+05:30,^CNXAUTO,,,,,,,,,,,,,,,,,0.0,0,0.054422514273533694,2010-04,
2010-05-31 00:00:00+05:30,^CNXAUTO,,,,,,,,,,,,,,,,,1.0,0,0.055215124676308035,2010-05,
2010-06-30 00:00:00+05:30,^CNXAUTO,,,,,,,,,,,,,,,,,0.0,0,0.054422514273533694,2010-06,
2025-09-30 00:00:00+05:30,^CNXPHARMA,22341.19921875,0.02463525896582075,0.013725855459864933,0.056948687968092715,-0.04037592699447168,0.031174171465729678,0.0490605515394557,61.87455983679271,1607.383707448742,1830.5419889320683,-223.1582814833264,0.8895914318208967,0.029994988135520817,-0.010163824500605934,-0.0137488002754802,0.71940728228032,0.0,0,0.4949602493460745,2025-09,
2025-09-30 00:00:00+05:30,^CNXMETAL,9883.599609375,0.07960849174597295,0.0365817648857214,0.0870057310283201,-0.03086283683691926,0.055555146908511925,0.05992520063797477,62.86101461524317,616.5768258869066,682.3675268338512,-65.79070094694464,0.39354939911503545,0.05321770858910169,0.017984702375141604,-0.003971746067587767,1.123813309780616,0.0,0,0.4157031629962291,2025-09,
2025-09-30 00:00:00+05:30,^CNXIT,36110.75,0.026420323325635042,-0.07289473684210523,-0.021021398827091864,-0.1391154683065191,0.053006919727938806,0.056151511151184254,49.76543528510834,938.2285440775959,1784.38970543873,-846.1611613611342,1.4378732977622044,-0.05801576492935623,-0.08318308588506318,-0.11522811266314958,0.8178726701225763,0.0,0,0.39166636338196636,2025-09,
2016-11-30 00:00:00+05:30,^CNXIT,,0.0,0.0,0.0,-0.9046822246027406,0.0,0.28995527117788233,57.46746635810756,-1447.7205343798705,-1081.0693774396445,-366.651156940226,,0.0,0.0,-0.90730868884337,-3.2296616389892066,1.0,1,0.6793985546139223,2016-11,8.558134191176471
2021-08-31 00:00:00+05:30,^CNXREALTY,386.79998779296875,-0.029725338730577477,0.1664655629476115,0.10577473210747712,0.736475815007716,0.0867588424948191,0.09542603005920226,65.35481181046455,31.659754158494422,17.16455301557688,14.49520114291754,0.022577369248055618,0.06097291505818414,-0.06223554980848456,0.15420782182820814,1.1907127789765797,1.0,1,0.6957036134040445,2021-08,0.32833506723887385
2016-04-30 00:00:00+05:30,^CNXIT,,0.0,-0.9272851529598114,-0.9277437801517455,-0.9251874846069764,0.3780560156840327,0.27023552532889233,57.46746635810756,-739.663467590035,300.60842289278355,-1040.2718904828184,,-0.9254354262822607,-0.9246867296476895,-0.9209037265568764,-3.834490522026321,0.0,1,0.7706752626877764,2016-04,0.31084337349397595
2020-03-31 00:00:00+05:30,^CNXAUTO,4731.2998046875,-0.31469670683605755,-0.4263909027653544,-0.3685833239226114,-0.42541217418860244,0.15218566429302308,0.1156996748687505,26.350873919019506,-820.0373618768372,-597.6817941701727,-222.3555677066645,0.550295112638481,-0.1881674006248205,-0.15731915883344338,-0.22677663986067642,1.4617428720340575,2.0,1,0.8278161548219867,2020-03,0.24731049520408366
2011-12-31 00:00:00+05:30,^NSEBANK,7968.55712890625,-0.06952859307493575,-0.15838638756048473,-0.29133858438676896,-0.3242010616760137,0.07452215240563607,0.0769497730138081,37.053700316959876,-123.16070121103803,282.1211084439228,-405.28180965496085,1.723192151345548,-0.10033806945767909,-0.13455126649181492,-0.10349917560575406,1.184665775476342,0.0,1,0.692883543471326,2011-12,0.24480941787500377
2021-01-31 00:00:00+05:30,^CNXMETAL,3077.449951171875,-0.0544451650680674,0.31312929806135514,0.4331718349521638,0.19791745861108412,0.12131475493741448,0.14613636558144097,57.50878616024861,-28.135563470024408,-165.54885795854324,137.41329448851883,0.22570886123094178,0.12126336604551335,0.16396208105409027,0.05097387339942583,1.3689638345451625,0.0,1,0.6504624685005692,2021-01,0.2421485200394915
2020-10-31 00:00:00+05:30,^NSEBANK,23900.623046875,0.11416760916724233,0.10447528818112817,0.1098888072198938,-0.2050587962990933,0.10159074734767148,0.13328448202598453,47.30567716122345,-1102.212699361975,-378.535043385585,-723.6776559763899,2.0528947850067834,0.05050090061114809,-0.060039792767316746,-0.18900963389282488,1.308384651374091,1.0,1,0.6966970193691443,2020-10,0.23882573994745004
2020-06-30 00:00:00+05:30,^CNXIT,14754.2998046875,0.05308874092198712,0.1559623895311837,-0.057377818323342766,-0.07417902833673173,0.09379668877820835,0.06679062894527457,51.52270702615742,295.21059084794797,646.1638108053118,-350.9532199573638,1.4321643513581406,-0.035276690049914405,0.11338964926054373,0.0594310493961383,0.6442090315194149,1.0,1,0.5562630274543153,2020-06,0.22485308341325028
2020-07-31 00:00:00+05:30,^CNXMEDIA,1285.0999755859375,-0.04336174567955964,0.1080836176640978,-0.2997875326127196,-0.34359998797877433,0.18770888904273386,0.1291968696753765,30.54739031834079,-378.22586459470244,-330.8529804563581,-47.37288413834432,0.11605235522077238,-0.013352306467562025,-0.24359516366827216,-0.3409592128078346,1.21851198465033,0.0,1,0.7110618646713445,2020-07,0.22364020688975828
