ticker,entry_date,entry_price,exit_date,exit_price,days_held,shares,entry_reason,exit_reason,gross_pnl_inr,fees_total_inr,net_pnl_inr,return_pct,ema_fast_entry,ema_slow_entry,ema_htf_entry,vwap_5d_entry,vwap_20d_entry,close_entry,high_52w_entry,volar_entry,mvo_weight_entry,alloc_inr_entry
BRITANNIA.NS,2015-10-23,1418.1295166015625,2015-10-26,1405.9006963705901,3,11,2-bar confirm above VWAP(5); EMA10>EMA50; Close≥VWAP(10); VWAP(5) slope>0; 52w%=96.7% (>= 80%); VOLAR rank 1/3 (VOLAR=2.43); MVO weight=54.9% of capped cash (15% of available),stop,-134.51702254069596,94.82215062507561,-229.33917316577157,-0.862320407819861,1409.9674211532185,1342.6472665770434,1153.3720146771004,1427.0115621623083,1412.8047064532104,1435.689697265625,1484.7017822265625,2.4334380109949763,0.5490490261319703,16471.470783959106
CHENNPETRO.NS,2015-10-23,180.35662841796875,2015-10-26,178.31406216888183,3,39,2-bar confirm above VWAP(5); EMA10>EMA50; Close≥VWAP(10); VWAP(5) slope>0; 52w%=91.2% (>= 80%); VOLAR rank 3/3 (VOLAR=2.39); MVO weight=23.7% of capped cash (15% of available),stop,-79.66008371438977,55.672509388170724,-135.3325931025605,-1.1325152100056801,178.15616803492986,169.4776371093456,122.37984961698481,179.15368629481378,179.4944006143114,179.73617553710938,197.06997680664062,2.3890363486113104,0.2366809843696782,7100.429531090345
TATAELXSI.NS,2015-10-23,832.1767578125,2015-10-26,825.3135873539271,3,7,2-bar confirm above VWAP(5); EMA10>EMA50; Close≥VWAP(10); VWAP(5) slope>0; 52w%=84.9% (>= 80%); VOLAR rank 2/3 (VOLAR=2.42); MVO weight=21.4% of capped cash (15% of available),stop,-48.04219321001017,50.20108884990187,-98.24328205991205,-0.8247250832399744,834.4837914294596,812.9736180591068,623.9002381665936,835.3983415164156,830.5552205036964,837.8690795898438,987.3801879882812,2.4247192274664777,0.21426998949835147,6428.099684950544
JUBLPHARMA.NS,2015-10-26,283.183837890625,2015-10-28,274.9393036989811,2,52,2-bar confirm above VWAP(5); EMA10>EMA50; Close≥VWAP(10); VWAP(5) slope>0; 52w%=100.0% (>= 80%); VOLAR rank 1/3 (VOLAR=2.55); MVO weight=50.0% of capped cash (15% of available),stop,-428.7157779654817,90.16328528632829,-518.8790632518101,-2.911371726951517,271.88905980902877,238.4216732652992,168.69071422260583,277.24187522212566,272.1894079754057,286.30218505859375,286.30218505859375,2.5515676712416897,0.4996253940013235,14954.069203028183
TORNTPHARM.NS,2015-10-26,684.7391967773438,2015-10-27,682.0607816245194,1,13,2-bar confirm above VWAP(5); EMA10>EMA50; Close≥VWAP(10); VWAP(5) slope>0; 52w%=95.8% (>= 80%); VOLAR rank 2/3 (VOLAR=1.26); MVO weight=29.9% of capped cash (15% of available),vwap_or_trend_exit,-34.8193969867159,64.33499758152192,-99.15439456823782,-0.3911584389253542,671.761258230693,651.5862881678545,586.1961459219768,683.4277144020265,677.110001299024,688.7239990234375,718.6004638671875,1.2573859927269437,0.2987454520308798,8941.619496121686
ZYDUSLIFE.NS,2015-10-26,390.51043701171875,2015-10-27,393.3825539893935,1,15,2-bar confirm above VWAP(5); EMA10>EMA50; Close≥VWAP(10); VWAP(5) slope>0; 52w%=100.0% (>= 80%); VOLAR rank 3/3 (VOLAR=1.16); MVO weight=20.2% of capped cash (15% of available),stop,43.08175466512125,50.55178380733355,-7.470029142212297,0.7354776480887226,389.8687073792839,365.3412536786819,333.8854288528671,399.78717009406535,393.87483919557695,405.09234619140625,405.09234619140625,1.163373659454348,0.20162915396779665,6034.874043600891
GODREJCP.NS,2015-10-27,399.385009765625,2015-11-02,388.0303039736646,6,14,2-bar confirm above VWAP(5); EMA10>EMA50; Close≥VWAP(10); VWAP(5) slope>0; 52w%=91.3% (>= 80%); VOLAR rank 3/3 (VOLAR=1.06); MVO weight=21.1% of capped cash (15% of available),stop,-158.96588108744538,48.882980696991176,-207.84886178443656,-2.843047564209733,385.4457651361121,383.5878698884777,361.7730469733785,388.00365880815986,386.2908019932071,397.438232421875,435.1983337402344,1.0636213158678145,0.2108255557562173,5839.974558882783
GODREJPROP.NS,2015-10-27,360.1000061035156,2015-10-28,353.4116374593809,1,17,2-bar confirm above VWAP(5); EMA10>EMA50; Close≥VWAP(10); VWAP(5) slope>0; 52w%=99.3% (>= 80%); VOLAR rank 2/3 (VOLAR=1.29); MVO weight=22.4% of capped cash (15% of available),stop,-113.70226695028987,51.41472000716985,-165.11698695745972,-1.8573642129325663,350.942512330568,318.8162845678555,282.64657295822224,360.3600676000292,354.0513450804951,361.3999938964844,363.79998779296875,1.2888188094903112,0.22402172923555888,6205.515240692112
SAMMAANCAP.NS,2015-10-27,498.0019836425781,2015-10-28,490.57905371639265,1,31,2-bar confirm above VWAP(5); EMA10>EMA50; Close≥VWAP(10); VWAP(5) slope>0; 52w%=92.9% (>= 80%); VOLAR rank 1/3 (VOLAR=1.99); MVO weight=56.5% of capped cash (15% of available),stop,-230.11082771174972,93.87036045944419,-323.98118817119393,-1.4905422407941682,495.2757927696334,490.8978601501151,427.7701677577446,494.0531802925033,492.7447843963033,496.23638916015625,534.4110107421875,1.9877511328133657,0.5651527150082238,15655.01613736041
COFORGE.NS,2015-10-28,99.29850769042969,2015-10-30,97.763058780423,2,136,2-bar confirm above VWAP(5); EMA10>EMA50; Close≥VWAP(10); VWAP(5) slope>0; 52w%=100.0% (>= 80%); VOLAR rank 1/3 (VOLAR=1.44); MVO weight=46.8% of capped cash (15% of available),vwap_or_trend_exit,-208.82105176091022,85.05299753809875,-293.87404929900896,-1.5462960579363028,91.46081045329245,83.02506808765203,74.03678061134346,97.01608471591042,92.2049584427561,101.06954193115234,101.06954193115234,1.4377960486383345,0.46763278342801673,13525.192608755691
DIVISLAB.NS,2015-10-28,1026.496337890625,2015-11-03,1104.8710257112016,6,7,2-bar confirm above VWAP(5); EMA10>EMA50; Close≥VWAP(10); VWAP(5) slope>0; 52w%=90.0% (>= 80%); VOLAR rank 3/3 (VOLAR=1.17); MVO weight=25.7% of capped cash (15% of available),target,548.6228147440361,57.76056861656926,490.86224612746685,7.635164873713118,1009.6840035819473,999.7003736300367,907.3095454140245,1008.5719285642152,1004.282661099962,1015.9053955078125,1128.4290771484375,1.1720672156280167,0.2567236565862167,7425.135759514427
WOCKPHARMA.NS,2015-10-28,1470.264892578125,2015-10-30,1435.874795645817,2,5,2-bar confirm above VWAP(5); EMA10>EMA50; Close≥VWAP(10); VWAP(5) slope>0; 52w%=80.9% (>= 80%); VOLAR rank 2/3 (VOLAR=1.26); MVO weight=27.6% of capped cash (15% of available),stop,-171.9504846615405,56.923156576963095,-228.87364123850358,-2.3390408834427556,1428.8628652015866,1358.4652412428966,1290.1418023369538,1439.922681979279,1434.2171055181368,1453.622802734375,1796.9652099609375,1.2608328374149453,0.2756435599857665,7972.3500410754905
INTELLECT.NS,2015-10-30,229.55426025390625,2015-11-06,229.27788592289917,7,116,2-bar confirm above VWAP(5); EMA10>EMA50; Close≥VWAP(10); VWAP(5) slope>0; 52w%=97.8% (>= 80%); VOLAR rank 1/2 (VOLAR=2.23); MVO weight=96.1% of capped cash (15% of available),vwap_or_trend_exit,-32.05942239682088,130.00968981507458,-162.06911221189546,-0.1203960800820636,204.99443293647792,171.900377643792,130.1665404140417,215.7456084516714,208.271279952506,224.25755310058594,229.41607666015625,2.230478188038521,0.9614161426400831,26692.65535566705
TORNTPOWER.NS,2015-10-30,154.53810119628906,2015-11-03,151.6350124175149,4,6,2-bar confirm above VWAP(5); EMA10>EMA50; Close≥VWAP(10); VWAP(5) slope>0; 52w%=100.0% (>= 80%); VOLAR rank 2/2 (VOLAR=0.87); MVO weight=3.9% of capped cash (15% of available),vwap_or_trend_exit,-17.41853267264497,37.44483924168651,-54.86337191433148,-1.8785585925420123,144.7675886046889,136.34284809927533,128.7505114990368,150.08051713914568,148.24399792957956,151.63504028320312,151.63504028320312,0.8685551817628041,0.038583857359916866,1071.238105044004
