ticker,date,pattern,direction,open,high,low,close,rsi14,macd,macd_signal,macd_hist,sto_k,sto_d,adx,di_plus,di_minus,aroon_up,aroon_dn,aroon_osc,bb_upper,bb_mid,bb_lower,bb_width,pct_b,bb_squeeze,atr14,vol,vol20,obv,obv_slope,eom14,sma50,sma200,confirmations_met,num_conf,entry_suggest,stop_suggest,risk_per_share,size_for_1pct,note
MOTHERSON.NS,2022-12-22,CDLENGULFING,bearish,47.0667,47.4667,45.7333,46.0,38.02,-0.2848,0.0849,-0.3696,12.19,13.1,21.65,14.05,22.31,48.0,100.0,-52.0,50.6025,48.3217,46.0408,0.094403,-0.0089,True,1.2798,40355697,20918349,4497238245,-40355697,-0.0,46.5307,53.6994,"RSI<50,MACD<Signal,STO_K<D & <80,ADX≥20,AroonDn↑,BB_conf,Vol≥1.5x20d,OBV↓,EOM<0,Close≤SMA200,ATR≥0.5%",11,45.5961,49.0024,3.4063,293,Sell on breakdown < pattern Low (−buffer)
KOTAKBANK.NS,2023-01-12,CDLENGULFING,bearish,1807.0,1807.0,1772.4,1779.5,33.76,-22.7933,-21.7458,-1.0475,31.68,35.82,35.65,8.0,28.06,4.0,84.0,-80.0,1855.7571,1819.175,1782.593,0.040218,-0.0423,True,27.0905,3529605,2243837,336775104,-3529605,-3.9e-05,1877.984,1830.0325,"RSI<50,MACD<Signal,STO_K<D & <80,ADX≥20,AroonDn↑,BB_conf,Vol≥1.5x20d,OBV↓,EOM<0,Close≤SMA200,ATR≥0.5%",11,1767.0828,1839.5086,72.4258,13,Sell on breakdown < pattern Low (−buffer)
ALOKINDS.NS,2023-01-20,CDLENGULFING,bearish,14.4,14.4,14.1,14.15,27.64,-0.3439,-0.2407,-0.1032,9.06,11.64,34.94,8.64,33.69,8.0,100.0,-92.0,16.0876,15.27,14.4524,0.10708,-0.185,True,0.4663,2102810,1390798,398342573,-2102810,-0.0,15.613,19.3755,"RSI<50,MACD<Signal,STO_K<D & <80,ADX≥20,AroonDn↑,BB_conf,Vol≥1.5x20d,OBV↓,EOM<0,Close≤SMA200,ATR≥0.5%",11,14.0577,14.9596,0.9019,1108,Sell on breakdown < pattern Low (−buffer)
GODREJPROP.NS,2023-02-01,CDLENGULFING,bearish,1189.0,1206.8,1140.0,1156.45,33.76,-19.1985,-12.9962,-6.2023,22.82,23.59,23.91,11.82,23.95,20.0,100.0,-80.0,1268.4276,1215.2,1161.9724,0.087603,-0.0519,True,34.8625,538646,334306,114394187,-538646,-0.000275,1252.661,1310.8377,"RSI<50,MACD<Signal,STO_K<D & <80,ADX≥20,AroonDn↑,BB_conf,Vol≥1.5x20d,OBV↓,EOM<0,Close≤SMA200,ATR≥0.5%",11,1136.58,1248.635,112.055,8,Sell on breakdown < pattern Low (−buffer)
SAPPHIRE.NS,2023-02-01,CDLENGULFING,bearish,263.92,263.92,242.64,248.17,33.54,-3.9492,-3.4983,-0.451,43.2,44.97,27.0,11.5,21.6,12.0,100.0,-88.0,269.8594,260.6965,251.5336,0.070295,-0.1835,True,9.5843,1025260,391214,65745280,-1025260,-1.8e-05,267.7688,253.0581,"RSI<50,MACD<Signal,STO_K<D & <80,ADX≥20,AroonDn↑,BB_conf,Vol≥1.5x20d,OBV↓,EOM<0,Close≤SMA200,ATR≥0.5%",11,241.9121,275.4211,33.509,29,Sell on breakdown < pattern Low (−buffer)
IGL.NS,2023-03-08,CDLDOJI,bullish,223.425,227.5,221.7,223.55,61.35,1.9113,1.6602,0.2511,61.47,52.07,23.87,25.55,11.49,100.0,0.0,100.0,222.6063,218.1875,213.7687,0.040504,1.1068,True,5.421,6927444,3549247,839756410,6927444,0.0,213.1315,201.6654,"RSI>50,MACD>Signal,STO_K>D & >20,ADX≥20,AroonUp↑,BB_conf,Vol≥1.5x20d,OBV↑,EOM>0,Close≥SMA200,ATR≥0.5%",11,228.1825,215.1947,12.9878,76,Buy on breakout > pattern High (+buffer)
PNBHOUSING.NS,2023-03-08,CDLENGULFING,bullish,484.5206,520.549,479.7996,516.4078,65.7,10.8678,9.9128,0.955,64.37,58.59,22.84,28.18,13.0,100.0,4.0,96.0,505.6411,483.9781,462.3151,0.089521,1.2485,True,19.7513,2880511,884634,147758262,2880511,1.4e-05,465.9547,356.087,"RSI>50,MACD>Signal,STO_K>D & >20,ADX≥20,AroonUp↑,BB_conf,Vol≥1.5x20d,OBV↑,EOM>0,Close≥SMA200,ATR≥0.5%",11,522.1107,456.098,66.0126,15,Buy on breakout > pattern High (+buffer)
MARICO.NS,2023-04-19,CDLEVENINGSTAR,bearish,478.15,478.65,466.55,468.15,33.44,-3.9854,-3.9333,-0.0522,44.86,50.72,33.33,9.66,29.69,8.0,100.0,-92.0,486.8014,479.2675,471.7336,0.031439,-0.2378,True,7.3869,2834418,1364683,237521988,-2834418,-4e-06,488.83,507.137,"RSI<50,MACD<Signal,STO_K<D & <80,ADX≥20,AroonDn↑,BB_conf,Vol≥1.5x20d,OBV↓,EOM<0,Close≤SMA200,ATR≥0.5%",11,465.1503,487.5143,22.3639,44,Sell on breakdown < pattern Low (−buffer)
BHARTIARTL.NS,2023-05-25,CDLENGULFING,bullish,799.6,825.5,797.85,822.7,68.92,9.2732,7.8154,1.4578,80.5,79.92,28.74,32.15,10.6,100.0,12.0,88.0,813.0153,795.165,777.3147,0.044897,1.2713,True,13.4162,9570396,5442659,542021760,9570396,5e-06,775.422,782.691,"RSI>50,MACD>Signal,STO_K>D & >20,ADX≥20,AroonUp↑,BB_conf,Vol≥1.5x20d,OBV↑,EOM>0,Close≥SMA200,ATR≥0.5%",11,827.9765,781.7505,46.226,21,Buy on breakout > pattern High (+buffer)
JKTYRE.NS,2023-06-26,CDLENGULFING,bullish,193.55,202.95,192.55,201.2,69.3,3.4411,2.5852,0.8559,76.98,76.48,26.16,32.61,12.79,100.0,0.0,100.0,198.4011,189.21,180.0189,0.097153,1.1523,True,5.2904,3015182,1286022,596723110,3015182,2e-06,185.363,174.2655,"RSI>50,MACD>Signal,STO_K>D & >20,ADX≥20,AroonUp↑,BB_conf,Vol≥1.5x20d,OBV↑,EOM>0,Close≥SMA200,ATR≥0.5%",11,203.5588,186.2015,17.3574,57,Buy on breakout > pattern High (+buffer)
CARBORUNIV.NS,2024-01-24,CDLENGULFING,bullish,1119.0,1218.0,1118.95,1177.2,57.64,3.0154,1.1768,1.8386,39.12,33.55,21.94,32.53,15.41,100.0,20.0,80.0,1182.3484,1136.7,1091.0516,0.080317,0.9436,True,36.5495,720902,166625,43709801,720902,0.000528,1143.677,1145.7815,"RSI>50,MACD>Signal,STO_K>D & >20,ADX≥20,AroonUp↑,BB_conf,Vol≥1.5x20d,OBV↑,EOM>0,Close≥SMA200,ATR≥0.5%",11,1221.654,1075.0905,146.5635,6,Buy on breakout > pattern High (+buffer)
INOXWIND.NS,2024-04-19,CDLENGULFING,bullish,134.5,144.475,130.4375,142.2625,59.79,2.7973,1.6958,1.1014,70.68,69.79,21.41,21.69,16.16,72.0,12.0,60.0,148.0617,130.9075,113.7533,0.262082,0.831,True,8.1471,7280476,3461179,881565956,7280476,1e-06,134.2767,85.1496,"RSI>50,MACD>Signal,STO_K>D & >20,ADX≥20,AroonUp↑,BB_conf,Vol≥1.5x20d,OBV↑,EOM>0,Close≥SMA200,ATR≥0.5%",11,144.9084,120.661,24.2474,41,Buy on breakout > pattern High (+buffer)
MOTILALOFS.NS,2024-06-04,CDLENGULFING,bearish,598.4875,598.4875,474.8,519.175,41.35,3.0979,9.1978,-6.0999,44.55,46.91,26.63,20.0,32.97,0.0,100.0,-100.0,604.1832,566.4737,528.7643,0.133138,-0.1271,True,31.8052,2183468,1013649,93942607,-2183468,-0.00021,531.7308,733.7603,"RSI<50,MACD<Signal,STO_K<D & <80,ADX≥20,AroonDn↑,BB_conf,Vol≥1.5x20d,OBV↓,EOM<0,Close≤SMA200,ATR≥0.5%",11,473.3756,636.6538,163.2782,6,Sell on breakdown < pattern Low (−buffer)
SYNGENE.NS,2024-07-12,CDLHARAMI,bullish,738.0,748.45,737.0,742.2,65.62,11.5346,9.4922,2.0424,83.39,81.52,22.05,22.63,10.3,96.0,0.0,96.0,743.2434,718.955,694.6666,0.067566,0.9785,True,16.05,1733127,1024369,62448370,1733127,2.7e-05,696.118,717.8145,"RSI>50,MACD>Signal,STO_K>D & >20,ADX≥20,AroonUp↑,BB_conf,Vol≥1.5x20d,OBV↑,EOM>0,Close≥SMA200,ATR≥0.5%",11,750.6954,717.74,32.9554,30,Buy on breakout > pattern High (+buffer)
