,price_latest,ret_1w,ret_1m,ret_3m,ret_6m,ret_1y,ret_ytd,vol_ann,cagr,sharpe,rs_vs_bench,rank_ret_1m,rank_ret_3m,rank_ret_6m,rank_ret_1y,score_composite,score_percentile
^CNXPSUBANK,8491.65,2.21,10.44,20.87,26.26,24.05,29.83,32.85,8.84,0.08,18.62,1.00,1.00,1.00,1.00,1.00,8.33
^CNXAUTO,27392.45,0.90,1.27,13.57,13.89,15.07,19.96,21.12,16.33,0.45,8.78,7.00,2.00,2.00,3.00,3.40,16.67
^CNXINFRA,9638.90,1.52,3.58,7.20,6.62,10.67,13.89,19.88,11.51,0.26,1.97,2.00,4.00,4.00,6.00,3.80,25.00
^CNXMETAL,10392.65,-1.58,1.02,12.76,12.83,11.64,20.15,27.78,10.83,0.16,7.85,8.00,3.00,3.00,5.00,4.55,33.33
^NSEBANK,58962.70,1.42,2.68,6.54,6.39,14.35,15.93,23.03,15.14,0.37,1.52,5.00,5.00,5.00,4.00,4.85,41.67
^CNXENERGY,36441.85,1.03,2.74,5.72,2.10,-5.11,3.56,20.84,12.58,0.29,-1.03,4.00,7.00,8.00,9.00,6.80,50.00
^CNXPHARMA,22748.05,1.69,2.92,2.69,4.63,0.91,-2.84,18.64,12.26,0.31,-1.28,3.00,10.00,6.00,7.00,6.80,58.33
NIFTY_FIN_SERVICE.NS,27594.85,1.16,0.78,4.79,4.10,15.78,17.36,21.57,16.36,0.44,-0.50,9.00,8.00,7.00,2.00,7.10,66.67
^CNXREALTY,931.15,-1.21,-0.18,5.89,-0.22,-3.77,-11.52,31.53,12.43,0.19,-2.11,10.00,6.00,9.00,8.00,8.05,75.00
^CNXIT,36375.20,0.72,2.38,4.43,-2.94,-13.50,-16.07,95.61,13.40,0.07,-4.20,6.00,9.00,11.00,11.00,9.05,83.33
^CNXFMCG,55372.45,-0.27,-0.86,1.31,-2.78,-5.12,-2.51,16.50,13.04,0.40,-5.68,11.00,11.00,10.00,10.00,10.60,91.67
^CNXMEDIA,1485.65,0.86,-3.76,-10.13,-11.12,-24.23,-18.27,26.45,2.13,-0.15,-15.57,12.00,12.00,12.00,12.00,12.00,100.00
