,price_latest
NIFTY_FIN_SERVICE.NS,27594.85
^CNXAUTO,27392.45
^CNXENERGY,36441.85
^CNXFMCG,55372.45
^CNXINFRA,9638.90
^CNXIT,36375.20
^CNXMEDIA,1485.65
^CNXMETAL,10392.65
^CNXPHARMA,22748.05
^CNXPSUBANK,8491.65
^CNXREALTY,931.15
^NSEBANK,58962.70
^NSEI,26013.45
