index_yahoo,index_name,top_stock,top_weight_pct_est
^CNXAUTO,NIFTY AUTO,MARUTI,19.94
^CNXENERGY,NIFTY ENERGY,RELIANCE,33.99
^CNXFMCG,NIFTY FMCG,HINDUNILVR,23.81
^CNXINFRA,NIFTY INFRASTRUCTURE,RELIANCE,24.82
^CNXIT,NIFTY IT,TCS,37.37
^CNXMEDIA,NIFTY MEDIA,SUNTV,23.42
^CNXMETAL,NIFTY METAL,ADANIENT,15.44
^CNXPHARMA,NIFTY PHARMA,SUNPHARMA,23.92
^CNXPSUBANK,NIFTY PSU BANK,SBIN,48.63
^CNXREALTY,NIFTY REALTY,DLF,28.85
^NSEBANK,NIFTY BANK,HDFCBANK,31.17
^NSEI,NIFTY 50,RELIANCE,9.88
