ticker,status,last_price,mu_step,sigma_step,est_daily_vol_from_5m,long_p_tp_first,long_p_sl_first,long_p_none,long_exp_edge_bps,short_p_tp_first,short_p_sl_first,short_p_none,short_exp_edge_bps,prob_abs_move_ge_80bps,best_side,best_edge_bps,best_p_tp,passes_filter
HDFCBANK.NS,ok,944.5,-2.727561534696128e-05,0.0009768276158233237,0.01,0.152,0.522,0.326,-19.41,0.274,0.352,0.374,7.0,0.629,SHORT*,7.0,0.274,False
ICICIBANK.NS,ok,1390.9000244140625,-2.6972939398662498e-05,0.0009720193784510695,0.01,0.151,0.52,0.329,-19.4,0.272,0.35,0.378,6.89,0.625,SHORT*,6.89,0.272,False
INFY.NS,ok,1495.0,-2.3218455956551212e-05,0.0014658130215409143,0.01,0.295,0.61,0.095,-13.36,0.383,0.519,0.098,1.45,0.9,SHORT*,1.45,0.383,False
RELIANCE.NS,ok,1366.5,-1.805373708453517e-05,0.0013134167157012346,0.01,0.271,0.582,0.147,-13.01,0.35,0.495,0.155,0.84,0.839,SHORT*,0.84,0.35,False
TCS.NS,ok,3111.5,-7.056367612134049e-06,0.0010552035624309265,0.01,0.221,0.49,0.29,-10.11,0.251,0.442,0.307,-2.93,0.681,SHORT*,-2.93,0.251,False
