,price_latest
NIFTY_FIN_SERVICE.NS,27566.15
^CNXAUTO,27537.85
^CNXENERGY,35852.40
^CNXFMCG,55504.70
^CNXINFRA,9661.45
^CNXIT,36885.35
^CNXMEDIA,1444.20
^CNXMETAL,10142.55
^CNXPHARMA,22580.95
^CNXPSUBANK,8378.70
^CNXREALTY,905.60
^NSEBANK,58867.70
^NSEI,26068.15
