,price_latest,ret_1w,ret_1m,ret_3m,ret_6m,ret_1y,ret_ytd,vol_ann,cagr,sharpe,rs_vs_bench,rank_ret_1m,rank_ret_3m,rank_ret_6m,rank_ret_1y,score_composite,score_percentile
^CNXPSUBANK,8378.70,-0.25,6.69,17.95,25.66,29.05,28.10,32.84,8.73,0.08,16.81,1.00,1.00,1.00,1.00,1.00,8.33
^CNXAUTO,27537.85,1.09,1.13,8.12,17.38,20.18,20.60,21.11,16.37,0.45,7.76,5.00,2.00,2.00,2.00,2.75,16.67
^NSEBANK,58867.70,0.60,1.48,5.69,7.15,17.31,15.74,23.02,15.11,0.36,1.42,4.00,4.00,5.00,4.00,4.25,25.00
^CNXINFRA,9661.45,0.44,2.07,5.48,8.17,14.57,14.15,19.87,11.52,0.26,1.83,3.00,5.00,4.00,6.00,4.40,33.33
^CNXMETAL,10142.55,-3.36,-0.88,6.79,10.49,14.88,17.26,27.77,10.63,0.16,3.64,9.00,3.00,3.00,5.00,4.80,41.67
NIFTY_FIN_SERVICE.NS,27566.15,0.27,0.11,4.07,5.11,18.82,17.24,21.56,16.34,0.44,-0.40,8.00,6.00,6.00,3.00,6.05,50.00
^CNXIT,36885.35,1.61,4.49,3.35,-0.44,-12.99,-14.89,95.56,13.50,0.07,-3.54,2.00,7.00,10.00,11.00,7.10,58.33
^CNXENERGY,35852.40,-1.13,0.58,2.88,1.40,-3.23,1.89,20.84,12.44,0.29,-2.85,6.00,8.00,8.00,9.00,7.65,66.67
^CNXPHARMA,22580.95,-1.05,0.29,2.78,4.92,3.81,-3.55,18.63,12.20,0.31,-1.14,7.00,9.00,7.00,7.00,7.70,75.00
^CNXFMCG,55504.70,-0.10,-1.95,-2.05,-0.17,-0.50,-2.28,16.49,13.05,0.40,-6.10,10.00,11.00,9.00,8.00,9.80,83.33
^CNXREALTY,905.60,-3.78,-3.39,-0.90,-3.08,-4.37,-13.94,31.52,12.20,0.18,-6.99,11.00,10.00,11.00,10.00,10.50,91.67
^CNXMEDIA,1444.20,-2.40,-6.31,-11.86,-13.73,-24.95,-20.55,26.43,1.92,-0.15,-17.79,12.00,12.00,12.00,12.00,12.00,100.00
