symbol,ppo,ppo_slope,rs_level_3m,rs_momentum,regime_bull,above_50,above_200,breakout_20,breakout_55,dist_52w,bbw_pct,adx,adx_rising,di_plus_gt,pct_above50_last21
NIFTY_FIN_SERVICE.NS,0.006659,0.000286,0.000086,0.000292,1,1,1,0,0,-1.059530,0.158730,31.258012,0,0,1.000000
^CNXAUTO,0.007025,-0.000372,0.039013,0.000003,1,1,1,0,0,-0.058614,0.650794,12.480015,0,1,0.904762
^CNXENERGY,0.004469,0.000275,-0.011335,0.000089,1,1,1,0,0,-5.686456,0.079365,16.519495,0,0,1.000000
^CNXFMCG,-0.001682,-0.000066,-0.058698,-0.002470,0,0,1,0,0,-4.349411,0.063492,48.002843,1,0,0.380952
^CNXINFRA,0.009862,0.000284,0.013598,0.000141,1,1,1,0,0,-0.318290,0.246032,28.220594,0,1,1.000000
^CNXIT,0.010244,0.000240,-0.006852,-0.000781,0,1,1,0,0,-19.807133,0.333333,12.815276,0,1,0.857143
^CNXMEDIA,-0.017732,-0.000129,-0.152965,-0.000166,0,0,0,0,0,-30.698914,0.817460,40.680113,1,0,0.000000
^CNXMETAL,0.002750,0.000131,0.026203,0.000417,0,0,1,0,0,-5.891442,0.420635,25.032378,1,0,0.952381
^CNXPHARMA,0.006385,0.000139,-0.012291,-0.000396,1,1,1,0,0,-4.128708,0.246032,21.145234,1,1,1.000000
^CNXPSUBANK,0.024674,0.000604,0.133465,0.000893,1,1,1,0,0,-2.305165,0.595238,41.255063,0,1,1.000000
^CNXREALTY,0.000515,0.000531,-0.047711,0.000009,0,0,0,0,0,-19.045282,0.071429,30.890493,0,0,0.952381
^NSEBANK,0.010300,0.000396,0.015642,0.001430,1,1,1,0,0,-0.808793,0.261905,19.764771,0,1,1.000000
