Symbol,Side,EntryTime,EntryPrice,ExitTime,ExitPrice,Qty,Exposure,BuyTurnover,SellTurnover,GrossPnL,NetPnL,ReturnPctNet_on_Exposure,ReturnPctNet_on_Equity,ExitReason,CapitalBefore,CapitalAfter,Brokerage,STT,StampDuty,ExchangeFees,SEBI,IPFT,GST,TotalCharges
ADANIENT.NS,short,2025-08-20 11:45:00+05:30,2382.60009765625,2025-08-20 15:15:00+05:30,2391.0,209,497963.42041015625,497963.42041015625,499719.0,-1755.57958984375,-1979.9675510739169,-0.39761305146532294,-1.979967551073917,EOD,100000.0,98020.03244892608,40.0,124.92975,14.938902612304688,29.631167886181643,0.9976824204101562,0.9976824204101562,12.892775890860351,224.38796123016695
ADANIENT.NS,short,2025-09-11 12:45:00+05:30,2391.699951171875,2025-09-11 15:15:00+05:30,2398.800048828125,204,487906.7900390625,487906.7900390625,489355.2099609375,-1448.419921875,-1669.1513904384062,-0.34210456269829154,-1.7028676166865455,EOD,98020.03244892608,96350.88105848768,40.0,122.33880249023437,14.637203701171876,29.0246814,0.977262,0.977262,12.776256971999997,220.73146856340622
ADANIENT.NS,long,2025-09-29 12:30:00+05:30,2520.89990234375,2025-09-29 12:30:00+05:30,2515.5,191,481491.88134765625,481491.88134765625,480460.5,-1031.38134765625,-1249.1240198733701,-0.2594278467120099,-1.2964323793937254,SL,96350.88105848768,95101.7570386143,40.0,120.115125,14.444756440429687,28.56998572602539,0.9619523813476563,0.9619523813476563,12.688900287969727,217.74267221712012
ADANIENT.NS,long,2025-09-29 13:00:00+05:30,2521.39990234375,2025-09-29 13:15:00+05:30,2547.0926339285716,188,474023.181640625,474023.181640625,478853.4151785715,4830.233537946453,4613.456186721973,0.9732553945472668,4.851073555716499,TP,95101.7570386143,99715.21322533628,40.0,119.71335379464287,14.22069544921875,28.300434925530134,0.9528765968191965,0.9528765968191965,12.637113861450334,216.7773512244805
ADANIENT.NS,long,2025-10-27 11:00:00+05:30,2495.300048828125,2025-10-27 12:00:00+05:30,2493.0,199,496564.7097167969,496564.7097167969,496107.0,-457.709716796875,-680.9652860620454,-0.13713525603750953,-0.682910123777403,SL,99715.21322533628,99034.24793927424,40.0,124.02675,14.896941291503907,29.48234977858887,0.9926717097167969,0.9926717097167969,12.864184775644045,223.25556926517044
ADANIENT.NS,short,2025-11-07 14:00:00+05:30,2390.0,2025-11-07 15:00:00+05:30,2364.3072684151784,207,494730.0,494730.0,489411.60456194193,5318.395438058063,5097.187836057333,1.0302968965005825,5.146894071617349,TP,99034.24793927424,104131.43577533157,40.0,122.35290114048549,14.8419,29.229005655489676,0.9841416045619419,0.9841416045619419,12.81551199563044,221.2076020007295
ADANIPORTS.NS,short,2025-09-11 10:15:00+05:30,1415.0,2025-09-11 11:45:00+05:30,1401.2857404436384,353,499495.0,499495.0,494653.86637660436,4841.133623395659,4618.098174305825,0.9245534338293325,4.618098174305825,TP,100000.0,104618.09817430582,40.0,123.66346659415109,14.98485,29.526221331385152,0.9941488663766044,0.9941488663766044,12.872613431544906,223.03544908983434
ADANIPORTS.NS,short,2025-09-19 14:00:00+05:30,1442.4000244140625,2025-09-19 14:00:00+05:30,1428.6857648577009,362,522148.8088378906,522148.8088378906,517184.2468784877,4964.561959402914,4733.524141136028,0.9065469576902981,4.524574833361462,TP,104618.09817430582,109351.62231544185,40.0,129.29606171962192,15.664464265136719,30.868191754776436,1.0393330557163782,1.0393330557163782,13.130434415917655,231.0378182668855
ADANIPORTS.NS,long,2025-09-26 14:45:00+05:30,1397.0,2025-09-26 14:45:00+05:30,1394.0999755859375,391,546227.0,546227.0,545093.0904541016,-1133.9095458984375,-1374.591547815489,-0.25165206916089633,-1.2570380929971618,SL,109351.62231544185,107977.03076762636,40.0,136.2732726135254,16.38681,32.41220668648681,1.0913200904541016,1.0913200904541016,13.427072436131104,240.6820019170515
APOLLOHOSP.NS,long,2025-08-26 10:00:00+05:30,7816.5,2025-08-26 10:30:00+05:30,7783.5,63,492439.5,492439.5,490360.5,-2079.0,-2300.3259268,-0.4671286374874477,-2.3003259268000003,SL,100000.0,97699.6740732,40.0,122.590125,14.773185,29.18916,0.9828,0.9828,12.807856799999998,221.32592680000002
APOLLOHOSP.NS,short,2025-09-03 11:30:00+05:30,7726.0,2025-09-03 13:45:00+05:30,7743.5,63,486738.0,486738.0,487840.5,-1102.5,-1322.717348371,-0.27175140391154995,-1.3538605537004904,SL,97699.6740732,96376.956724829,40.0,121.960125,14.60214,28.94498145,0.9745784999999999,0.9745784999999999,12.760944921000002,220.217348371
APOLLOHOSP.NS,short,2025-09-11 09:30:00+05:30,7900.0,2025-09-11 15:15:00+05:30,7885.0,60,474000.0,474000.0,473100.0,900.0,684.8777774,0.14448898257383966,0.7106239921596935,EOD,96376.956724829,97061.834502229,40.0,118.275,14.22,28.12887,0.9470999999999999,0.9470999999999999,12.604152600000003,215.12222260000001
APOLLOHOSP.NS,long,2025-09-15 10:15:00+05:30,7827.0,2025-09-15 12:15:00+05:30,7797.5,62,485274.0,485274.0,483445.0,-1829.0,-2047.8553729139999,-0.4219998130775603,-2.1098461443843526,SL,97061.834502229,95013.979129315,40.0,120.86125,14.55822,28.7709543,0.968719,0.968719,12.727510613999996,218.855372914
