date,equity
2016-01-10,500000.0
2016-01-11,499762.7578230534
2016-01-12,500917.44718497875
2016-01-13,500546.3634142268
2016-01-14,492906.85889826034
2016-01-15,488211.3416558287
2016-01-18,486007.9479485533
2016-01-19,490932.71451959823
2016-01-20,485803.55390558456
2016-01-21,481475.7764974642
2016-01-22,484267.9193502474
2016-01-25,484241.7793050814
2016-01-27,485390.5926595736
2016-01-28,482946.3608702441
2016-01-29,485176.2166441699
2016-02-01,477152.5247749571
2016-02-02,471956.81155626813
2016-02-03,474509.76286074164
2016-02-04,476281.30148073676
2016-02-05,480768.3876611999
2016-02-08,475460.54259894404
2016-02-09,474334.46946356806
2016-02-10,470083.62966842507
2016-02-11,458250.75358523976
2016-02-12,454478.80045023
2016-02-15,454722.49451651215
2016-02-16,452666.39962210297
2016-02-17,452375.3760014975
2016-02-18,453489.12818350433
2016-02-19,454876.2450314963
2016-02-22,457823.02449240326
2016-02-23,455733.71523108124
2016-02-24,453470.5816518271
2016-02-25,455029.48500539165
2016-02-26,454656.5656786094
2016-02-29,456036.0326547752
2016-03-01,457956.731140199
2016-03-02,464980.0906010333
2016-03-03,465880.77981383237
2016-03-04,471432.7837811175
2016-03-08,468723.53516633064
2016-03-09,469529.63855102705
2016-03-10,471612.0301706303
2016-03-11,474744.7571408069
2016-03-14,474124.1317898547
2016-03-15,472224.28816192504
2016-03-16,475685.8024746692
2016-03-17,476567.500587157
2016-03-18,477304.72371642943
2016-03-21,478474.3199575991
2016-03-22,480279.168618698
2016-03-23,484287.6552825164
2016-03-28,482756.7482009124
2016-03-29,484008.25313599437
2016-03-30,484248.2415318226
2016-03-31,484693.51431866625
2016-04-01,484963.7133352373
2016-04-04,486679.5906583879
2016-04-05,482455.4286100481
2016-04-06,482871.3902976449
2016-04-07,481043.01850755996
2016-04-08,480062.7158513421
2016-04-11,479454.84644036286
2016-04-12,482900.26398839476
2016-04-13,484103.18863872363
2016-04-18,487113.2716822847
2016-04-20,487860.23704483354
2016-04-21,489792.14285232866
2016-04-25,487411.3215327486
2016-04-26,489876.24691958504
2016-04-27,490678.0615558155
2016-04-28,486427.803546674
2016-04-29,487859.59382987715
2016-05-02,488508.9930089193
2016-05-03,486909.16354114586
2016-05-04,479661.8237662293
2016-05-05,479044.8572023901
2016-05-06,475511.3819225654
2016-05-09,478484.9659450874
2016-05-10,480032.6766002998
2016-05-11,480860.97922023386
2016-05-12,480673.4510985653
2016-05-13,481266.5155631344
2016-05-16,481406.5251932181
2016-05-17,481692.56441593537
2016-05-18,484067.88488865265
2016-05-19,482155.23295688996
2016-05-20,480582.2786874808
2016-05-23,480690.3400392569
