ticker,entry_date,entry_price,exit_date,exit_price,days_held,shares,entry_reason,exit_reason,gross_pnl_inr,fees_total_inr,net_pnl_inr,return_pct,cci_entry,wpr_entry,ema50_entry,ema_fast_entry,ema_slow_entry,sma_trend_entry,swing_low_entry,close_entry,high_52w_entry,volar_entry,mvo_weight_entry,alloc_inr_entry
J&KBANK.NS,2016-01-11,149.22325134277344,2016-01-12,149.22325134277344,1,676,Close>EMA50 + W%R:-80→>-50 + CCI:-100↑; 52w%=100.0% (>= 50%); VOLAR rank 1/5 (VOLAR=3.76); MVO weight=80.8% of capped cash (25% of available),indicator_exit: SwingLow(10) breach,0.0,295.22772786009887,-295.22772786009887,0.0,0.0,-50.0,149.18545399585497,149.22325133810006,149.22315262550188,148.22143478393554,149.22325134277344,149.22325134277344,149.22325134277344,3.763233390009122,0.8077970916697563,100974.63645871954
JUBLPHARMA.NS,2016-01-11,277.22137451171875,2016-01-12,277.5640628036124,1,21,Close>EMA50 + W%R:-80→>-50 + CCI:-100↑; 52w%=92.0% (>= 50%); VOLAR rank 5/5 (VOLAR=2.28); MVO weight=4.8% of capped cash (25% of available),"indicator_exit: Close<EMA50, SwingLow(10) breach",7.19645412976638,50.307123035440334,-43.110668905673954,0.12361539311218639,-28.661606690455624,-66.66685973331329,280.8059722743928,285.3872256017647,286.41024261351816,195.1324489593506,276.26187425434233,283.7320861816406,308.5072937011719,2.275041222894918,0.04812447225587604,6015.559031984505
NAVINFLUOR.NS,2016-01-11,350.3117980957031,2016-01-13,345.57645817747954,2,19,Close>EMA50 + W%R:-80→>-50 + CCI:-100↑; 52w%=95.6% (>= 50%); VOLAR rank 2/5 (VOLAR=2.50); MVO weight=5.6% of capped cash (25% of available),indicator_exit: SwingLow(10) breach,-89.97145844624816,53.91665772557692,-143.8881161718251,-1.351750053513734,0.47650099366466986,-72.01966460412723,330.71898649091327,352.3306861516019,349.9337907730723,232.01871391296388,340.943880213136,352.6934509277344,369.0289611816406,2.49951062933833,0.05573276817302555,6966.596021628194
TATAELXSI.NS,2016-01-11,911.1058349609375,2016-01-12,917.9908326606756,1,4,Close>EMA50 + W%R:-80→>-50 + CCI:-100↑; 52w%=89.9% (>= 50%); VOLAR rank 3/5 (VOLAR=2.35); MVO weight=3.3% of capped cash (25% of available),"indicator_exit: Close<EMA50, SwingLow(10) breach",27.539990798952203,43.53672693125924,-15.996736132307035,0.7556748552744352,-54.543880495138865,-95.4451719245061,919.3762757779577,972.2886773142691,966.4257882819543,716.2676159667968,917.5406733998603,923.5031127929688,1027.4971923828125,2.353407686013703,0.03285155077791994,4106.4438472399925
WELSPUNLIV.NS,2016-01-11,80.73282623291016,2016-01-14,77.6055096757902,3,85,Close>EMA50 + W%R:-80→>-50 + CCI:-100↑; 52w%=93.2% (>= 50%); VOLAR rank 4/5 (VOLAR=2.33); MVO weight=5.5% of capped cash (25% of available),indicator_exit: SwingLow(10) breach,-265.8219073551961,54.47287550075685,-320.294782855953,-3.873661685146268,22.30398024115959,-62.89846020858169,77.16009237392673,80.72498388530963,79.90144262172389,63.40411978721619,77.25443850314971,80.59886932373047,86.4793701171875,2.3306843515446536,0.05549411712342224,6936.76464042778
3MINDIA.NS,2016-01-12,9900.4248046875,2016-01-13,9814.910172557964,1,5,Close>EMA50 + W%R:-80→>-50 + CCI:-100↑; 52w%=86.5% (>= 50%); VOLAR rank 1/3 (VOLAR=1.66); MVO weight=43.7% of capped cash (25% of available),"indicator_exit: Close<EMA50, SwingLow(10) breach",-427.5731606476802,180.48935259053715,-608.0625132382173,-0.8637470999128039,-29.941378104504714,-77.05729778653816,10205.190295328564,10022.267120530856,10091.724577410985,9065.467749023437,9759.17029676338,9897.5439453125,11445.35546875,1.6561623815948743,0.43737428858227545,53151.412619311464
SAREGAMA.NS,2016-01-12,30.831254959106445,2016-01-13,28.36792724057073,1,1188,Close>EMA50 + W%R:-80→>-50 + CCI:-100↑; 52w%=69.0% (>= 50%); VOLAR rank 2/3 (VOLAR=1.64); MVO weight=30.1% of capped cash (25% of available),stop,-2926.4333296204304,149.25347076285027,-3075.6868003832806,-7.989709539241884,-88.77164096753795,-77.31786720890305,32.571949964277536,31.908131796083683,32.3015721513648,26.825154542922974,29.85716125349874,31.098567962646484,45.05304718017578,1.6408028215965473,0.30141744580227403,36629.41204071697
TRIDENT.NS,2016-01-12,4.290765285491943,2016-01-14,4.026049711939243,2,7397,Close>EMA50 + W%R:-80→>-50 + CCI:-100↑; 52w%=92.1% (>= 50%); VOLAR rank 3/3 (VOLAR=1.59); MVO weight=26.1% of capped cash (25% of available),"indicator_exit: Close<EMA50, SwingLow(10) breach",-1958.1010975693239,139.38149684744565,-2097.4825944167696,-6.169425637141323,-109.19451367681508,-65.94202355853476,4.221984221002708,4.437767430316605,4.44607028906107,2.9148466223478318,4.172235792002322,4.357931613922119,4.733274459838867,1.5851996690387042,0.2612082656154505,31743.03718287694
J&KBANK.NS,2016-01-13,149.22325134277344,2016-01-14,149.22325134277344,1,609,Close>EMA50 + W%R:-80→>-50 + CCI:-100↑; 52w%=100.0% (>= 50%); VOLAR rank 1/3 (VOLAR=4.96); MVO weight=79.6% of capped cash (25% of available),indicator_exit: SwingLow(10) breach,0.0,272.98415128224883,-272.98415128224883,0.0,0.0,-50.0,149.1883603662447,149.22325133964495,149.22317053339697,148.24127273559571,149.22325134277344,149.22325134277344,149.22325134277344,4.959246231803611,0.7957800253077757,90945.60355741011
KPRMILL.NS,2016-01-13,78.7110595703125,2016-01-14,79.0883708511242,1,174,Close>EMA50 + W%R:-80→>-50 + CCI:-100↑; 52w%=92.6% (>= 50%); VOLAR rank 2/3 (VOLAR=2.27); MVO weight=12.0% of capped cash (25% of available),"indicator_exit: Close<EMA50, SwingLow(10) breach",65.65216286123515,86.53789891826042,-20.88573605702527,0.4793624718958833,-18.327628212519162,-64.4958605467021,78.7663769096892,82.0659481238999,81.22501123201178,66.8904765701294,77.569552055212,80.83644104003906,87.26992797851562,2.2694159519773245,0.12019831376597158,13736.846671668309
