symbol,bias,skip_reason,final_score,volar,volar_norm,fo_sentiment,fo_score,pcr,delivery_pct_avg,delivery_score,candle,candle_score,last_close,avg_vol_20,price_ok,avg_vol_ok
GLAXO,Skip,avgVol20<200000.0 or NaN (avg_vol_20=58148.9),-0.21140000000000003,-0.09654655906133568,-0.692,NA,0.0,,61.910000000000004,1.0,Bearish,-1.0,2618.60009765625,58148.9,True,False
ASTRAL,Short Bias,,-0.21140000000000003,0.01439172435576989,0.008000000000000007,Bearish,-0.9,0.541,51.965999999999994,1.0,Bearish,-1.0,1450.0999755859375,512320.55,True,True
VIJAYA,Skip,avgVol20<200000.0 or NaN (avg_vol_20=67602.45),-0.21180000000000002,-0.12811305239597626,-0.804,NA,0.0,,57.688,1.0,Neutral,0.0,988.6500244140625,67602.45,True,False
UBL,Skip,avgVol20<200000.0 or NaN (avg_vol_20=152752.4),-0.21540000000000006,-0.1297354975348902,-0.812,NA,0.0,,62.57199999999999,1.0,Neutral,0.0,1797.4000244140625,152752.4,True,False
LICI,Short Bias,,-0.21558749999999996,-0.0010955735664071728,-0.12,Bearish,-0.89025,0.639,51.27199999999999,1.0,Neutral,0.0,894.7000122070312,992972.85,True,True
SKFINDIA,Skip,avgVol20<200000.0 or NaN (avg_vol_20=26958.0),-0.21720000000000003,-0.13056375978638093,-0.8160000000000001,NA,0.0,,55.702,1.0,Neutral,0.0,2140.800048828125,26958.0,True,False
INDGN,Short Bias,,-0.21860000000000002,-0.09825938002693721,-0.708,NA,0.0,,52.76800000000001,1.0,Bearish,-1.0,539.4000244140625,418509.2,True,True
TORNTPOWER,Short Bias,,-0.21867999999999987,0.003703296564616351,-0.07599999999999996,Bearish,-0.9,0.543,48.05200000000001,0.8701333333333339,Neutral,0.0,1316.5,607042.35,True,True
ABSLAMC,Watchlist,,-0.21900000000000006,-0.13133738247321794,-0.8200000000000001,NA,0.0,,56.98,1.0,Neutral,0.0,762.0,355481.45,True,True
SUPREMEIND,Short Bias,,-0.22121250000000006,-0.11178151153538103,-0.752,Neutral,-0.09375,0.625,66.66600000000001,1.0,Neutral,0.0,3812.5,278626.0,True,True
TATACHEM,Watchlist,,-0.22169999999999998,-0.13178503826301455,-0.8240000000000001,NA,0.0,,49.910000000000004,0.9940000000000002,Neutral,0.0,890.6500244140625,480928.25,True,True
NIVABUPA,Skip,price<100 or NaN (last_close=75.05999755859375),-0.2222,-0.10003230344372337,-0.716,NA,0.0,,58.025999999999996,1.0,Bearish,-1.0,75.05999755859375,2690788.55,False,True
BRITANNIA,Short Bias,,-0.22373750000000003,0.009914325215097455,-0.020000000000000018,Bearish,-0.8992500000000001,0.603,66.268,1.0,Bearish,-1.0,5836.5,239837.45,True,True
RAMCOCEM,Watchlist,,-0.228,-0.13458160968096042,-0.84,NA,0.0,,61.146,1.0,Neutral,0.0,1044.449951171875,334027.0,True,True
EMAMILTD,Watchlist,,-0.22979999999999998,-0.13682128684016132,-0.844,NA,0.0,,65.08200000000001,1.0,Neutral,0.0,534.4000244140625,413453.3,True,True
BALKRISIND,Skip,avgVol20<200000.0 or NaN (avg_vol_20=137537.95),-0.23340000000000002,-0.13762157012648896,-0.852,NA,0.0,,56.424,1.0,Neutral,0.0,2279.800048828125,137537.95,True,False
COLPAL,Short Bias,,-0.23377499999999998,-0.005952428978308902,-0.16800000000000004,Bearish,-0.8805000000000001,0.678,53.827999999999996,1.0,Neutral,0.0,2243.0,563923.6,True,True
RAINBOW,Watchlist,,-0.23700000000000002,-0.14014145314110368,-0.86,NA,0.0,,54.25599999999999,1.0,Neutral,0.0,1369.4000244140625,289927.1,True,True
BSOFT,Watchlist,,-0.23707999999999999,-0.07914744251378868,-0.616,NA,0.0,,39.012,0.26746666666666674,Neutral,0.0,371.6000061035156,2823906.65,True,True
COROMANDEL,Watchlist,,-0.24240000000000003,-0.1465716927576905,-0.872,NA,0.0,,50.85,1.0,Neutral,0.0,2124.60009765625,346308.5,True,True
GODREJAGRO,Skip,avgVol20<200000.0 or NaN (avg_vol_20=150483.7),-0.24280000000000007,-0.2411224239038186,-0.984,NA,0.0,,58.178,1.0,Bullish,1.0,663.25,150483.7,True,False
DCMSHRIRAM,Watchlist,,-0.24357999999999996,-0.05281466779741189,-0.484,NA,0.0,,32.422000000000004,-0.1718666666666664,Neutral,0.0,1281.199951171875,220914.55,True,True
THERMAX,Skip,avgVol20<200000.0 or NaN (avg_vol_20=76905.5),-0.24380000000000002,-0.11503959707065405,-0.764,NA,0.0,,54.684000000000005,1.0,Bearish,-1.0,3218.800048828125,76905.5,True,False
MANKIND,Short Bias,,-0.24413749999999998,-0.13440267452807225,-0.836,Neutral,-0.05124999999999999,0.795,55.646,1.0,Neutral,0.0,2384.0,313831.95,True,True
CONCORDBIO,Skip,avgVol20<200000.0 or NaN (avg_vol_20=111039.7),-0.2442,-0.1487153521046321,-0.876,NA,0.0,,54.176,1.0,Neutral,0.0,1443.800048828125,111039.7,True,False
NUVAMA,Skip,avgVol20<200000.0 or NaN (avg_vol_20=158152.85),-0.2466200000000001,0.029699787061000568,0.1399999999999999,Bearish,-0.9,0.559,35.538,0.03586666666666649,Neutral,0.0,7092.0,158152.85,True,False
ADANIENT,Short Bias,,-0.24685249999999992,0.049947241966907065,0.268,Bearish,-0.85375,0.785,28.136000000000003,-0.4575999999999998,Neutral,0.0,2481.0,765886.8,True,True
MANAPPURAM,Short Bias,,-0.24807999999999997,0.0215177278502673,0.08400000000000007,Bearish,-0.9,0.504,42.912,0.5274666666666665,Bearish,-1.0,269.5,3285420.6,True,True
COHANCE,Watchlist,,-0.24960000000000002,-0.15297299880466875,-0.888,NA,0.0,,63.21999999999999,1.0,Neutral,0.0,753.4000244140625,714735.6,True,True
OFSS,Skip,avgVol20<200000.0 or NaN (avg_vol_20=146397.95),-0.24971999999999997,-0.005509063630446501,-0.15600000000000003,Bearish,-0.9,0.523,48.548,0.9032000000000002,Neutral,0.0,8515.0,146397.95,True,False
DBREALTY,Watchlist,,-0.25140000000000007,-0.15468737775995334,-0.892,NA,0.0,,59.322,1.0,Neutral,0.0,148.8800048828125,842005.9,True,True
ZENTEC,Short Bias,,-0.25242,-0.07516560376040651,-0.604,NA,0.0,,41.938,0.46253333333333346,Bearish,-1.0,1357.199951171875,355226.8,True,True
FINCABLES,Watchlist,,-0.2532,-0.16031157808627208,-0.896,NA,0.0,,58.928,1.0,Neutral,0.0,785.9000244140625,221506.2,True,True
LLOYDSME,Short Bias,,-0.25460000000000005,-0.12178080898343778,-0.788,NA,0.0,,55.614,1.0,Bearish,-1.0,1304.800048828125,312117.35,True,True
