Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id,ReturnPct
0,RELIANCE.NS,82,2025-04-11 13:20:00+05:30,1219.5718961669922,19.996000799830654,2025-04-11 14:50:00+05:30,1217.8782,19.96823109637581,-178.81274921732938,-0.0017884851176717283,Long,Closed,0,-0.17880399589329127
1,RELIANCE.NS,80,2025-04-15 09:20:00+05:30,1244.1244,19.9059904,2025-04-15 15:15:00+05:30,1239.476015588379,19.83161624941406,-411.60835957909484,-0.00413552253676456,Long,Closed,1,-0.413552253676456
2,RELIANCE.NS,80,2025-04-16 12:40:00+05:30,1236.62365,19.7859784,2025-04-17 09:25:00+05:30,1228.0,19.648,-729.3259783999926,-0.0073721497482276905,Long,Closed,2,-0.7372149748227691
3,RELIANCE.NS,80,2025-04-17 09:30:00+05:30,1229.8229211669923,19.732104161725147,2025-04-17 09:55:00+05:30,1231.276884411621,19.75543252363849,77.154272865216,0.0007820176929215837,Long,Closed,3,0.0784201037577055
4,RELIANCE.NS,79,2025-04-17 11:25:00+05:30,1246.9247288330077,19.74753193074139,2025-04-22 10:10:00+05:30,1295.470415588379,20.51634938791599,3803.8234045232452,0.03852454491895827,Long,Closed,4,3.861473129453339
5,RELIANCE.NS,76,2025-04-22 10:40:00+05:30,1301.4301788330079,19.781738718261717,2025-04-22 13:20:00+05:30,1295.9703655883789,19.69874955694336,-454.4262948670057,-0.004594401951609009,Long,Closed,5,-0.4594401951609009
6,RELIANCE.NS,76,2025-04-23 09:55:00+05:30,1303.530364416504,19.813661539130862,2025-04-23 10:40:00+05:30,1288.9000244140625,19.591280371093752,-1151.3107820957828,-0.011621383355338024,Long,Closed,6,-1.1621383355338024
7,RELIANCE.NS,77,2025-04-23 10:45:00+05:30,1287.62875,19.829482750000004,2025-04-23 11:35:00+05:30,1293.1707188232422,19.91482906987793,386.98728756975567,0.0039031506010388057,Long,Closed,7,0.39031506010388056
8,RELIANCE.NS,77,2025-04-23 12:40:00+05:30,1295.329471166992,19.94807385597168,2025-04-24 09:55:00+05:30,1293.0706311767578,19.913287720122074,-213.79204082412846,-0.002143485555224445,Long,Closed,8,-0.2143485555224445
9,RELIANCE.NS,77,2025-04-24 12:10:00+05:30,1298.229785583496,19.99273869798584,2025-04-25 09:50:00+05:30,1304.9000244140625,20.095460375976565,473.5201908796546,0.004736921719757776,Long,Closed,9,0.47369217197577757
10,RELIANCE.NS,76,2025-04-25 09:55:00+05:30,1298.9299288330078,19.74373491826172,2025-04-25 11:05:00+05:30,1296.9702655883789,19.71394803694336,-188.39208954700266,-0.0019083733683311537,Long,Closed,10,-0.19083733683311538
11,RELIANCE.NS,76,2025-04-25 13:40:00+05:30,1304.0304144165038,19.821262299130858,2025-04-29 15:05:00+05:30,1399.6600688232422,21.274833046113283,7226.757639566874,0.07291924732648092,Long,Closed,11,7.291924732648091
