eval_anchor,bar_date,ticker,side,close,patterns,indicators_enabled,indicator_conf_true,indicator_values
2025-09-25,2025-08-18,BDL.NS,short,1604.9517822265625,SHOOTING_STAR_BEAR,"USE_RSI,USE_SMA,USE_BB","RSI,SMA","{""RSI"": 38.04213630612594, ""SMA_FAST"": 1558.6305053710937, ""SMA_SLOW"": 1776.600478515625, ""BB_BW"": 0.16373320465106617}"
2025-09-25,2025-08-18,BHARTIARTL.NS,short,1892.300048828125,HANGING_MAN_BEAR,"USE_RSI,USE_SMA,USE_BB","RSI,SMA","{""RSI"": 47.15039808140192, ""SMA_FAST"": 1889.8500122070313, ""SMA_SLOW"": 1916.7238232421876, ""BB_BW"": 0.06106790965090498}"
2025-09-25,2025-08-18,DIVISLAB.NS,short,6164.5,SHOOTING_STAR_BEAR,"USE_RSI,USE_SMA,USE_BB","RSI,SMA","{""RSI"": 32.83538081877451, ""SMA_FAST"": 6142.85, ""SMA_SLOW"": 6570.1434375, ""BB_BW"": 0.1654172052740652}"
2025-09-25,2025-08-18,KOTAKBANK.NS,short,2001.4000244140625,SHOOTING_STAR_BEAR,"USE_RSI,USE_SMA,USE_BB","RSI,SMA","{""RSI"": 32.8186123897453, ""SMA_FAST"": 1984.939990234375, ""SMA_SLOW"": 2110.072038574219, ""BB_BW"": 0.15005521687109222}"
2025-09-25,2025-08-18,MAXHEALTH.NS,long,1211.5999755859375,INVERTED_HAMMER_BULL,"USE_RSI,USE_SMA,USE_BB","SMA,BB","{""RSI"": 44.67022332102601, ""SMA_FAST"": 1252.9900024414062, ""SMA_SLOW"": 1244.5197973632812, ""BB_BW"": 0.06453469564625572}"
2025-09-25,2025-08-18,PERSISTENT.NS,short,5232.5,"ENGULFING_BEAR,EVENING_STAR_BEAR","USE_RSI,USE_SMA,USE_BB","RSI,SMA","{""RSI"": 42.65283230510376, ""SMA_FAST"": 5187.65, ""SMA_SLOW"": 5618.81349609375, ""BB_BW"": 0.1511367129120137}"
2025-09-25,2025-08-18,SBILIFE.NS,long,1863.0,INVERTED_HAMMER_BULL,"USE_RSI,USE_SMA,USE_BB","RSI,SMA,BB","{""RSI"": 59.110164794970586, ""SMA_FAST"": 1847.0400024414062, ""SMA_SLOW"": 1822.7319995117186, ""BB_BW"": 0.044706660630124476}"
2025-09-25,2025-08-18,SOLARINDS.NS,short,14957.0,"ENGULFING_BEAR,EVENING_STAR_BEAR","USE_RSI,USE_SMA,USE_BB","RSI,SMA","{""RSI"": 47.912087912087905, ""SMA_FAST"": 14823.7, ""SMA_SLOW"": 15811.1489453125, ""BB_BW"": 0.08802903110487703}"
2025-09-25,2025-08-18,UNITDSPR.NS,short,1307.5,ENGULFING_BEAR,"USE_RSI,USE_SMA,USE_BB","RSI,SMA,BB","{""RSI"": 37.226724744103564, ""SMA_FAST"": 1308.6099853515625, ""SMA_SLOW"": 1379.0073681640624, ""BB_BW"": 0.05223295466045643}"
2025-09-25,2025-08-19,BAJFINANCE.NS,short,902.2999877929688,HANGING_MAN_BEAR,"USE_RSI,USE_SMA,USE_BB","RSI,SMA","{""RSI"": 41.98303192489814, ""SMA_FAST"": 878.4550048828125, ""SMA_SLOW"": 915.3340002441406, ""BB_BW"": 0.14019399189244194}"
