Symbol,Latest_Date,Latest_Deliverable_Qty,Avg_Deliverable_Qty,Delivery_Ratio,Delivery_Z,Delivery_RobustZ,Delivery_Pctile,Latest_Close,Latest_VWAP_N,CloseAboveVWAP,CloseVWAPDiffPct,Anomaly
PAYTM,2025-08-01,985988.0,1695060.2857142857,0.5816831462041553,-0.6027869965550062,-0.5267411903087945,0.3333333333333333,1076.4,1036.7678505706238,True,3.8226638111476197,False
JBCHEPHARM,2025-08-01,252312.0,350352.6666666667,0.7201657758182707,-0.44888760088124036,-0.5162795052814961,0.42857142857142855,1738.0,1678.6213484260225,True,3.5373463842607755,False
VMM,2025-08-01,5258779.0,7739575.761904762,0.6794660536672334,-0.5970067329547633,-0.9725839769323965,0.19047619047619047,141.07,136.32459966980412,True,3.4809567324531665,False
HDFCAMC,2025-08-01,159502.0,343460.61904761905,0.4643967638627177,-0.828705388890819,-0.6879391311190787,0.19047619047619047,5615.0,5426.274635670031,True,3.477991384537904,False
AMBER,2025-08-01,145068.0,111727.80952380953,1.2984054786206614,0.462868327397211,0.8841250167326988,0.8095238095238095,7871.0,7669.131952372468,True,2.6322150783320897,False
GODIGIT,2025-08-01,279166.0,498106.04761904763,0.5604549499738389,-0.2894385015456778,0.5902232512404225,0.5714285714285714,365.15,356.9616321500783,True,2.2939069951582347,False
BHARTIHEXA,2025-08-01,57142.0,140603.90476190476,0.4064040760230868,-0.548078265554297,-0.5437255915950582,0.23809523809523808,1844.6,1803.9020446518844,True,2.2561067253499045,False
DELHIVERY,2025-08-01,1170260.0,1557044.2857142857,0.7515906970257751,-0.40063549776859564,-0.27184246581492705,0.3333333333333333,429.85,421.35189395037554,True,2.0168667025441955,False
PATANJALI,2025-08-01,85913.0,493746.6666666667,0.1740021873565391,-1.148009590508532,-0.952283976017426,0.0,1861.0,1828.184540449409,True,1.7949752240287609,False
SAGILITY,2025-08-01,20459961.0,17234485.285714287,1.18715242496736,0.24078572662988812,1.1660857604774106,0.8095238095238095,44.96,44.444706055049984,True,1.1594045516056806,False
PIIND,2025-08-01,40114.0,80232.04761904762,0.49997477554688097,-1.0568979700737686,-0.8176380789338582,0.14285714285714285,4190.2,4143.133441189357,True,1.1360135867873877,False
SUPREMEIND,2025-08-01,28346.0,85044.33333333333,0.33330850967926534,-1.1859860705436422,-0.833550014167539,0.09523809523809523,4249.1,4211.040965229095,True,0.903791606046167,False
CUMMINSIND,2025-08-01,253199.0,329447.0,0.7685576132124439,-0.5046635391096479,-0.29024240830297,0.3333333333333333,3568.7,3538.5134872960616,True,0.8530845738560444,False
AFFLE,2025-08-01,57593.0,123283.23809523809,0.4671600202089807,-0.6662901600788005,-0.320252534148429,0.38095238095238093,1947.4,1934.7549119287355,True,0.6535757058065306,False
GLAND,2025-08-01,85968.0,338894.8095238095,0.2536716337461645,-1.0026388470500112,-0.7315235673732313,0.047619047619047616,1978.5,1968.050426934835,True,0.5309606360767827,False
IKS,2025-08-01,182905.0,125911.80952380953,1.4526437249352153,0.6781647841902306,0.8756864449985711,0.7619047619047619,1601.8,1596.7688266311166,True,0.31508464374885303,False
RAMCOCEM,2025-08-01,86612.0,270942.6666666667,0.31966910588710035,-0.8392455680037879,-1.1672559349869966,0.14285714285714285,1151.1,1147.9590648450267,True,0.27361037959983125,False
LAURUSLABS,2025-08-01,761399.0,1061133.9523809524,0.7175333503292277,-0.40641236891731813,0.1312276890390876,0.5238095238095238,849.35,847.2147541524059,True,0.25203123967432184,False
STARHEALTH,2025-08-01,286294.0,375010.71428571426,0.7634288544136835,-0.23055859969385284,0.2816693184387344,0.6190476190476191,435.55,435.12701458144124,True,0.0972096432499514,False
NMDC,2025-08-01,4498566.0,11596928.142857144,0.38791013832148186,-1.2041219790992697,-1.0248789183761617,0.047619047619047616,70.46,70.42154954214043,True,0.054600414375372,False
AADHARHFC,2025-08-01,242003.0,574289.8095238095,0.4213952537320215,-0.7440642430591707,-0.5253104696559456,0.19047619047619047,499.5,499.67485142957247,False,-0.03499304178952167,False
MOTILALOFS,2025-08-01,394482.0,547291.8571428572,0.720789090594911,-0.30520813393525,0.025227053257242806,0.5238095238095238,921.7,923.5634231319259,False,-0.20176450098107201,False
HEROMOTOCO,2025-08-01,202633.0,239258.90476190476,0.8469193662891982,-0.354705607339546,-0.3284524644532945,0.38095238095238093,4311.6,4330.366291002025,False,-0.4333649797944039,False
HBLENGINE,2025-08-01,427262.0,287018.90476190473,1.488619714281306,1.1687077172433415,2.458607193344243,0.9047619047619048,599.85,603.3211867019687,False,-0.5753463956642668,False
KAJARIACER,2025-08-01,360654.0,629044.0476190476,0.5733366389286844,-0.26334325920862195,-0.11804033070178613,0.47619047619047616,1183.5,1191.5851013428019,False,-0.6785164847807112,False
MANKIND,2025-08-01,164277.0,362486.85714285716,0.4531943621207153,-0.8068452666856287,-0.6876027092769558,0.19047619047619047,2566.3,2590.505924758989,False,-0.9344091641574126,False
TATAELXSI,2025-08-01,70734.0,62456.857142857145,1.1325257663575772,0.18720848184624558,1.1582889709554836,0.7619047619047619,6054.5,6112.222061750543,False,-0.9443711495981111,False
NYKAA,2025-08-01,1290495.0,3983377.380952381,0.32397005771304976,-0.5048963583185518,-0.3972410470617755,0.23809523809523808,210.06,212.1116614838374,False,-0.9672553925064276,False
TATACHEM,2025-08-01,224347.0,363854.0,0.6165852237435895,-0.38852134047639325,0.1085818609575591,0.5238095238095238,956.5,967.0975477327378,False,-1.095809596206987,False
KEI,2025-08-01,81273.0,171212.14285714287,0.47469179839547426,-0.9618385351266289,-1.5300710436330203,0.23809523809523808,3816.3,3860.614397671344,False,-1.147858685344838,False
POLICYBZR,2025-08-01,894765.0,603669.0476190476,1.4822111611139817,0.9537969050959542,1.6531109974319886,0.9047619047619048,1780.9,1802.9942091506723,False,-1.2254176435253283,False
NAVINFLUOR,2025-08-01,45669.0,50244.23809523809,0.9089400442979011,-0.08915820595315589,0.3263242484307686,0.7142857142857143,5011.5,5077.333565407893,False,-1.2966169064884792,False
WAAREEENER,2025-08-01,875457.0,617379.619047619,1.4180205711204004,0.8000119092226858,2.281241760626991,0.8095238095238095,3104.0,3146.9828858587543,False,-1.3658442838028084,False
ASTERDM,2025-08-01,276428.0,612490.0,0.45131838887165504,-0.5406394740678109,-0.5814972947515641,0.2857142857142857,595.4,603.7580999647696,False,-1.3843458108897089,False
NH,2025-08-01,113300.0,149619.33333333334,0.7572550784435166,-0.415731748333729,-0.19591616038638157,0.3333333333333333,1945.5,1974.5837708023148,False,-1.4729064034845862,False
AEGISVOPAK,2025-09-09,41503.0,247661.42857142858,0.16757958733985914,-1.3865317803815642,-1.5404805212372963,0.0,243.46,247.21894413467987,False,-1.5204919460508948,False
KALYANKJIL,2025-08-01,981740.0,1220058.3333333333,0.8046664435443661,-0.35960622973629774,-0.1318991056777929,0.38095238095238093,582.85,592.6038589846974,False,-1.645932411140305,False
APLAPOLLO,2025-08-01,680363.0,500833.5714285714,1.3584612510286422,0.508204490946721,0.8652202857855674,0.8095238095238095,1594.1,1621.5923285071021,False,-1.6953908836268794,False
GILLETTE,2025-08-01,12343.0,12306.285714285714,1.0029833766716196,0.004166611688811153,0.5088568079641894,0.6666666666666666,10712.0,10898.898753508764,False,-1.714840716807231,False
BIOCON,2025-08-01,1651864.0,2185990.476190476,0.7556592848833916,-0.44203563112207844,-0.10432391882388221,0.42857142857142855,383.1,390.3100050251781,False,-1.8472508857960146,False
EXIDEIND,2025-08-01,1017255.0,728999.4285714285,1.3954126164316023,1.20553745457871,2.224170229578257,0.8571428571428571,379.25,386.601808139117,False,-1.9016486690800694,False
PGEL,2025-08-01,752009.0,723598.4761904762,1.0392628297935291,0.05545898104618343,1.592144951719581,0.8095238095238095,778.65,794.0863724783686,False,-1.94391605414298,False
MRF,2025-08-01,2234.0,2716.0476190476193,0.822518715921244,-0.21972194389036723,0.17077074961270483,0.5714285714285714,145905.0,148875.38155277618,False,-1.9952133937760408,False
PAGEIND,2025-08-01,13474.0,10830.57142857143,1.244071015907352,0.2930807919102574,1.4302727560095114,0.8571428571428571,46810.0,47764.14357902961,False,-1.997614753525101,False
WELCORP,2025-08-01,224084.0,260475.57142857142,0.86028796777762,-0.20505002932350583,0.40512259553440594,0.5238095238095238,897.5,915.8448322849353,False,-2.003050258979666,False
OIL,2025-08-01,899423.0,974255.1428571428,0.9231904050948226,-0.12168546540883324,0.30198904168749025,0.6190476190476191,434.05,443.07114787188544,False,-2.0360494957107678,False
MUTHOOTFIN,2025-08-01,101485.0,189582.09523809524,0.535308990400942,-0.8195887615393526,-0.9217418936499753,0.14285714285714285,2592.7,2646.7508127364235,False,-2.042157216928997,False
POLYCAB,2025-08-01,132532.0,180754.42857142858,0.7332157836875761,-0.4995172628905763,-0.30352367790423523,0.3333333333333333,6698.0,6869.755465714798,False,-2.5001685514424277,False
DEEPAKFERT,2025-08-01,81174.0,145913.0,0.5563178058157944,-0.6876402918494395,-0.5014590148729036,0.3333333333333333,1558.5,1598.8261232090006,False,-2.5222331949431798,False
SWIGGY,2025-08-01,7964520.0,5912244.142857143,1.3471229887592358,0.3149404561094557,2.7152506950719872,0.8095238095238095,392.35,402.6510617880134,False,-2.5583098532686033,False
CASTROLIND,2025-08-01,577147.0,1005191.8571428572,0.5741660120889501,-0.4370120910149727,-0.4248823274620377,0.3333333333333333,218.41,224.18957316979657,False,-2.577984822433843,False
JYOTICNC,2025-08-01,72556.0,182090.90476190476,0.3984603190086375,-1.1714973336308256,-1.0755401758138772,0.09523809523809523,1010.1,1037.345190340373,False,-2.6264343435605353,False
LTF,2025-08-01,1929949.0,3835262.095238095,0.5032117628665448,-0.6716137600088995,-0.5840909518816312,0.2857142857142857,201.14,206.57644817660244,False,-2.6316882803381514,False
GMRAIRPORT,2025-08-01,6755497.0,5955020.666666667,1.1344204123109116,0.32907302122825655,0.4640116436861729,0.6190476190476191,89.42,91.92326708746192,False,-2.723213792086121,False
COLPAL,2025-08-01,333597.0,428471.90476190473,0.7785738021384967,-0.3952812237972584,-0.2738008297161957,0.38095238095238093,2258.0,2322.4809504672708,False,-2.776382318843029,False
GLENMARK,2025-08-01,733478.0,876292.0,0.8370246447531188,-0.1388607979957934,0.2318414601051658,0.6190476190476191,2067.8,2131.782901787527,False,-3.0013798184550744,False
AUBANK,2025-08-01,1557848.0,1441674.0,1.0805827114867854,0.11749969574851107,0.828701002516342,0.7619047619047619,741.05,764.9663846913528,False,-3.126462177942968,False
ANANTRAJ,2025-08-01,394288.0,973795.8095238095,0.4048980249697404,-0.6589540527658737,-0.9531624589766479,0.14285714285714285,563.85,582.1356232695704,False,-3.1411276923526854,False
