Symbol,Latest_Date,Latest_Deliverable_Qty,Avg_Deliverable_Qty,Delivery_Ratio,Delivery_Z,Delivery_RobustZ,Delivery_Pctile,Latest_Close,Latest_VWAP_N,CloseAboveVWAP,CloseVWAPDiffPct,Anomaly
KAYNES,2025-08-01,471883.0,132539.95238095237,3.560307601768955,2.1777267372451776,7.859886369935345,0.9523809523809523,6371.5,6006.8147331857135,True,6.071192187758312,True
RADICO,2025-08-01,816507.0,132963.85714285713,6.140819148490407,7.053538114305101,13.30520831389405,1.0,2838.8,2763.8010463311216,True,2.7136162267699326,True
DABUR,2025-08-01,4404282.0,1465444.4761904762,3.0054240004024133,5.426145617823418,5.485792720868128,1.0,534.35,520.9641356297305,True,2.569440668711076,True
SUZLON,2025-08-01,92654446.0,18803589.666666668,4.927487125729486,12.123249935008202,14.778431004860018,1.0,65.95,64.90016792785515,True,1.6176107176053556,True
BLS,2025-08-01,2225652.0,747419.2380952381,2.9777825971832983,2.1206776789701474,7.163376606182021,0.9047619047619048,379.65,377.5922944235836,True,0.5449543348223118,True
ALKEM,2025-08-01,109132.0,68340.66666666667,1.5968822858034746,0.8639064929086373,3.0729348627985735,0.8095238095238095,4899.0,4923.656073755973,False,-0.5007675878783369,True
MPHASIS,2025-08-01,363154.0,238809.85714285713,1.5206826231748032,0.8164352895678969,1.6964410550880935,0.8571428571428571,2757.4,2772.0647522923005,False,-0.5290191104004194,True
APTUS,2025-08-01,2182798.0,935774.7619047619,2.3326104623263535,2.3985013346225927,4.219130725720495,0.9523809523809523,338.5,340.6178224646592,False,-0.62175914617002,True
MARICO,2025-08-01,1668393.0,1056855.7142857143,1.5786383869132021,1.434530429185196,1.0351289123653125,0.9523809523809523,711.2,718.2360873417731,False,-0.9796343383154049,True
INDIANB,2025-08-01,1903249.0,907118.4761904762,2.0981261543617338,2.086571779598402,2.8210825129509427,0.9523809523809523,621.2,634.3081502389297,False,-2.066527165698895,True
FSL,2025-08-01,790990.0,358628.04761904763,2.205599939133117,1.985660503296329,3.0388958976928193,0.9523809523809523,339.0,346.57572055119357,False,-2.185877458220431,True
CGCL,2025-08-01,3774383.0,1973948.4285714286,1.9120980798528604,1.4146209262534348,2.638659725515307,0.8571428571428571,175.36,179.29691722779225,False,-2.1957528822375005,True
LUPIN,2025-08-01,728553.0,583258.4761904762,1.2491082937336937,0.3359168272221088,3.4620427034073975,0.7619047619047619,1867.3,1927.9619360880272,False,-3.146428098633247,True
TATATECH,2025-08-01,730284.0,459906.95238095237,1.5878951083894195,0.7888245267606887,3.6902667424385123,0.9523809523809523,693.9,717.5099284682897,False,-3.290536831830493,True
CHAMBLFERT,2025-08-01,4215386.0,742022.0476190476,5.680944405258655,3.8216041561425573,18.17063533400862,0.9523809523809523,518.3,535.9727604991823,False,-3.2973243794559015,True
POONAWALLA,2025-08-01,912072.0,567375.1904761905,1.6075288720934555,0.8513605717257476,1.4613157298642827,0.8571428571428571,419.35,435.600554305777,False,-3.730609188887679,True
UPL,2025-08-01,2779622.0,1357404.5714285714,2.0477476343509338,1.6328689544443034,2.6038926147163237,0.9047619047619048,665.15,698.6658826962553,False,-4.797125997753393,True
AEGISLOG,2025-08-01,182750.0,117796.19047619047,1.5514084051549892,1.3418713225970933,1.8015172181465995,0.9047619047619048,707.05,742.7930456001499,False,-4.811979031288693,True
AUROPHARMA,2025-08-01,751288.0,542790.8571428572,1.3841205873559297,0.29571999807651783,3.8051918847295276,0.8571428571428571,1079.8,1138.361195130422,False,-5.144342180753325,True
IRCTC,2025-08-01,463634.0,285784.3333333333,1.6223212609042017,1.5410907468736486,3.476500397865863,0.8571428571428571,719.2,761.9326484871202,False,-5.608454838097476,True
FIRSTCRY,2025-08-01,667923.0,378263.71428571426,1.7657601688315712,1.3429567355370378,1.4209467085528287,0.9523809523809523,348.15,369.9319073794099,False,-5.888085603026916,True
CYIENT,2025-08-01,402446.0,190876.42857142858,2.108411200963974,1.4181429639042937,2.828025408404407,0.9047619047619048,1181.9,1258.6468014549198,False,-6.097564572221936,True
FEDERALBNK,2025-08-01,5694667.0,3417499.6666666665,1.666325546581375,1.8059047877818217,5.014252411556147,0.9523809523809523,196.06,209.19965968667518,False,-6.280918289424964,True
NEULANDLAB,2025-08-01,108977.0,31052.04761904762,3.509494811322925,2.4104842333473773,7.671602324920624,0.9523809523809523,13017.0,13893.2839155447,False,-6.307248314160319,True
HUDCO,2025-08-01,1680711.0,985534.4285714285,1.705380300550492,2.307422878095826,2.2167922185208995,1.0,210.43,225.24404731846263,False,-6.576887378301144,True
AARTIIND,2025-08-01,1064498.0,681210.1904761905,1.5626571869922812,0.45334064449321443,1.834964575343244,0.9047619047619048,406.35,435.23905236768127,False,-6.637513846821896,True
KFINTECH,2025-08-01,1162789.0,388552.1904761905,2.992619855198713,2.974289100813045,3.485876177928856,0.9523809523809523,1101.5,1198.6151742536292,False,-8.102281394368482,True
ATUL,2025-08-01,42045.0,19336.571428571428,2.1743771979077398,1.8830412744580642,3.1272597719527444,0.9047619047619048,6491.5,7123.653008346485,False,-8.874000566925677,True
CAMS,2025-08-01,264665.0,142709.2857142857,1.8545744845915524,1.4723612220671178,2.517837943533632,0.9523809523809523,3644.4,4041.730604096605,False,-9.830704790019396,True
ZENTEC,2025-08-01,339269.0,169047.7142857143,2.0069422496100002,0.973001860817249,3.1312126853760036,0.9523809523809523,1533.2,1709.017248681142,False,-10.28762283217569,True
