symbol,n_trades,wins,losses,gross_pnl,fees,net_pnl,avg_net,win_rate,capital_deployed,roc_on_deployed
HDFCBANK.NS,59,11,48,-4521.474670410156,13241.269054472736,-17762.743724882894,-301.06345296411683,0.186,5900000.0,-0.0030106345296411685
RELIANCE.NS,60,15,45,-3112.031494140625,13458.906131228261,-16570.937625368886,-276.1822937561481,0.25,6000000.0,-0.002761822937561481
TCS.NS,60,22,38,12708.168212890625,13445.198609756468,-737.0303968658418,-12.28383994776403,0.367,6000000.0,-0.0001228383994776403
ALL,179,48,131,5074.662048339844,40145.37379545747,-35070.711747117624,-195.92576395037779,0.2681564245810056,17900000.0,-0.001959257639503778
