Stock,Cluster,Key_Indicators
SIEMENS.NS,3,ATR%=2.49%|RSI14=46.3|BB_bw%=6.98%|ADX14=16.6|RET20=-0.90%
SWIGGY.NS,5,ATR%=3.35%|RSI14=61.3|BB_bw%=14.04%|ADX14=26.4|RET20=10.18%
