ticker,entry_date,exit_date,qty,entry_price,exit_price,entry_eff,exit_eff,net_profit,fees_total,roi_%,exit_reason,days_held
BSE.NS,2024-12-06,2024-12-20,27,1794.390625,1843.070556640625,1795.2878203125,1842.149021362305,1181.0200663285943,84.23236201614024,2.3620401326571887,Time,10
ICICIBANK.NS,2024-12-02,2024-12-16,38,1294.6602783203125,1335.7928466796875,1295.3076084594725,1335.1249502563478,1428.4896800891142,84.5693081921494,2.8569793601782285,Time,10
SHREECEM.NS,2024-11-29,2024-12-13,1,25979.048828125,27488.388671875,25992.03835253906,27474.644477539063,1406.2877279920992,76.31839700790283,2.8125754559841987,Time,10
BSE.NS,2024-11-07,2024-11-11,30,1620.020751953125,1539.0197143554688,1620.8307623291014,1538.2502044982912,-2560.627416623495,83.21068169918773,-5.121254833246989,HSL,2
BEL.NS,2024-11-06,2024-11-13,166,299.49261474609375,284.517984008789,299.6423610534668,284.37572501678466,-2617.851793203054,83.5902111138151,-5.235703586406109,HSL,5
MAXHEALTH.NS,2024-10-31,2024-11-14,49,1016.4270629882812,1005.0901489257812,1016.9352765197754,1004.5876038513184,-689.2122909163518,84.17633016195762,-1.3784245818327034,Time,10
ICICIBANK.NS,2024-10-28,2024-11-08,38,1282.95068359375,1249.2109375,1283.5921589355469,1248.58633203125,-1413.8155969868178,83.59417462354135,-2.8276311939736356,TwoRedBelow20,9
HDFCBANK.NS,2024-10-24,2024-11-07,58,855.786376953125,854.2701416015625,856.2142701416016,853.8430065307617,-221.78387719794546,84.25058776923241,-0.4435677543958909,Time,10
DIVISLAB.NS,2024-10-09,2024-10-23,8,5962.60009765625,5701.63818359375,5965.5813977050775,5698.787364501954,-2217.3421189127976,82.98985328780606,-4.4346842378255955,Time,10
SHREECEM.NS,2024-10-01,2024-10-07,1,26424.1796875,25281.662109375,26437.39177734375,25269.021278320313,-1244.085006183097,75.71450715966056,-2.488170012366194,TwoRedBelow20,3
MFSL.NS,2024-09-02,2024-09-16,44,1114.25,1133.550048828125,1114.807125,1132.983273803711,715.446628649507,84.30391871377749,1.430893257299014,Time,10
SRF.NS,2024-09-02,2024-09-12,19,2583.74560546875,2481.90380859375,2585.0374782714844,2480.6628566894533,-2066.6446941383406,83.52688407975108,-4.1332893882766815,TwoRedBelow20,8
