symbol,signal_time,pattern,entry_time,exit_time,side,qty,entry_price,exit_price,reason,bars,gross_ret_pct,pnl,equity_after
JPPOWER.NS,2018-10-29,Bullish Engulfing,2018-10-30,2018-11-06,LONG,1,1.8527750238776208,2.1148804580289227,target,5,13.975677644678864,0.25893786481825815,200.25893786481825
JPPOWER.NS,2018-11-19,Bullish Engulfing,2018-11-20,2018-11-26,LONG,1,1.9529250477552416,2.1742213464333062,target,3,11.164783388899636,0.21803985132943748,200.4769777161477
JPPOWER.NS,2018-12-11,Bullish Engulfing,2018-12-12,2019-01-10,LONG,1,2.003,2.049999952316284,time,20,2.1931881167905676,0.043929557979315075,200.520907274127
JPPOWER.NS,2019-02-01,Morning Star,2019-02-04,2019-02-07,LONG,1,1.8527750238776208,1.5499999523162842,gap_stop,3,-16.46700680230485,-0.30509658921333316,200.2158106849137
JPPOWER.NS,2019-02-15,Bullish Engulfing,2019-02-18,2019-02-22,LONG,1,1.6024000238776208,1.7916231921658714,target,4,11.64127283043268,0.18653975861451225,200.4023504435282
JPPOWER.NS,2019-03-19,Bullish Engulfing,2019-03-20,2019-04-08,LONG,1,1.9529250477552416,2.2015798140222596,target,11,12.563582148909669,0.24535734268136317,200.64770778620957
JPPOWER.NS,2019-06-20,Bullish Engulfing,2019-06-21,2019-07-19,LONG,1,1.9529250477552416,1.899999976158142,time,20,-2.8557574715113,-0.05577080296428593,200.5919369832453
JPPOWER.NS,2019-07-23,Bullish Engulfing,2019-07-24,2019-08-02,LONG,1,1.9028499761223794,1.7000000476837158,gap_stop,7,-10.794130478827569,-0.20539610923898885,200.3865408740063
JPPOWER.NS,2019-08-06,Bullish Engulfing,2019-08-07,2019-08-21,LONG,1,1.752625,1.5889615011415055,stop,8,-9.473981673292474,-0.16604337130154226,200.22049750270475
JPPOWER.NS,2019-10-04,Bullish Engulfing,2019-10-07,2019-10-11,LONG,1,1.6024000238776208,1.312611732240504,stop,3,-18.207330000938114,-0.29175426028250956,199.92874324242223
JPPOWER.NS,2019-10-17,Morning Star,2019-10-18,2019-11-19,LONG,1,1.1517249761223793,1.100000023841858,time,20,-4.634134201279938,-0.05337248102317038,199.87537076139907
JPPOWER.NS,2020-05-04,Bullish Engulfing,2020-05-05,2020-05-13,LONG,2,0.751125,0.8893594230788716,target,6,18.22631146691467,0.2738047640117256,200.14917552541078
RTNINDIA.NS,2019-06-25,Bullish Harami,2019-06-26,2019-07-03,LONG,1,1.8527750238776208,2.176996716178751,target,5,17.32326288927315,0.32096108813311364,200.32096108813312
RTNINDIA.NS,2019-07-24,Hammer,2019-07-25,2019-07-30,LONG,1,1.8527750238776208,1.5068184017097783,stop,3,-18.794157953302527,-0.34821346450689866,199.97274762362622
RTNINDIA.NS,2019-07-31,Piercing Line,2019-08-01,2019-08-21,LONG,1,1.8527750238776208,1.4632546434909228,stop,12,-21.141907134535497,-0.3917119749600745,199.58103564866613
RTNINDIA.NS,2019-08-23,Hammer,2019-08-26,2019-09-06,LONG,1,1.251875,1.6119896822337911,target,8,28.573165791705122,0.3577003192549085,199.93873596792105
RPOWER.NS,2020-02-19,Bullish Harami,2020-02-20,2020-03-05,LONG,1,1.8026999522447587,1.597677127187654,stop,9,-11.505838844681604,-0.20741575135843415,199.79258424864156
RPOWER.NS,2020-05-27,Bullish Engulfing,2020-05-28,2020-06-03,LONG,1,1.8527750238776208,2.0090974464134024,target,4,8.274792572710886,0.15331329006486774,199.94589753870642
SUZLON.NS,2020-01-01,Bullish Engulfing,2020-01-02,2020-01-03,LONG,1,1.747222927093506,1.9586315103376615,target,1,11.931793766343436,0.20847503629906625,200.20847503629906
