ticker,entry_date,exit_date,side,entry_px,exit_px,qty,days_held,gross_pnl,fees,net_pnl,ret_pct,reason,patterns,indicators_enabled,indicator_conf_true,indicator_values
RELIANCE.NS,2022-10-21,2022-11-07,short,1128.2769775390625,1189.904052734375,44,17,2802.591291259758,40.0,2802.591291259758,5.6453564051682275,HIT_SL,ENGULFING_BEAR,"USE_RSI,USE_SMA,USE_BB","RSI,SMA","{""RSI"": 46.9041319903757, ""SMA_FAST"": 1105.5686157226562, ""SMA_SLOW"": 1147.6491186523438, ""BB_BW"": 0.07902667395656555}"
RELIANCE.NS,2022-11-09,2022-11-23,long,1188.7171630859375,1167.28466796875,42,14,-989.6408333740105,40.0,-989.6408333740105,-1.9822105473707226,TIME_EXIT,INVERTED_HAMMER_BULL,"USE_RSI,USE_SMA,USE_BB","RSI,SMA","{""RSI"": 66.37724199515245, ""SMA_FAST"": 1159.6132446289062, ""SMA_SLOW"": 1138.5335864257813, ""BB_BW"": 0.12430998218840678}"
RELIANCE.NS,2022-11-24,2022-12-08,long,1177.3504638671875,1209.373779296875,42,14,1254.8580389404347,40.0,1254.8580389404347,2.537695722103611,TIME_EXIT,INVERTED_HAMMER_BULL,"USE_RSI,USE_SMA,USE_BB","RSI,SMA,BB","{""RSI"": 60.452917121968255, ""SMA_FAST"": 1182.294287109375, ""SMA_SLOW"": 1138.7723461914063, ""BB_BW"": 0.06243065621900328}"
RELIANCE.NS,2022-12-28,2023-01-11,short,1161.532958984375,1153.178955078125,43,14,-269.4558618164133,40.0,-269.4558618164133,-0.5394952715382806,TIME_EXIT,HANGING_MAN_BEAR,"USE_RSI,USE_SMA,USE_BB","RSI,SMA","{""RSI"": 31.39225292203207, ""SMA_FAST"": 1170.5828979492187, ""SMA_SLOW"": 1180.1665673828124, ""BB_BW"": 0.09254778554703623}"
RELIANCE.NS,2023-01-13,2023-01-30,short,1126.451171875,1077.218017578125,44,17,-2077.7780668945297,40.0,-2077.7780668945297,-4.192123899561059,TIME_EXIT,HANGING_MAN_BEAR,"USE_RSI,USE_SMA,USE_BB","RSI,SMA","{""RSI"": 39.72351689448046, ""SMA_FAST"": 1155.9864013671875, ""SMA_SLOW"": 1183.9755786132812, ""BB_BW"": 0.06203636619170696}"
RELIANCE.NS,2023-02-02,2023-02-16,short,1062.2447509765625,1109.3096923828125,47,14,2303.0837755126895,40.0,2303.0837755126895,4.613040677552662,TIME_EXIT,SHOOTING_STAR_BEAR,"USE_RSI,USE_SMA,USE_BB","RSI,SMA","{""RSI"": 27.43229981059106, ""SMA_FAST"": 1089.2602905273438, ""SMA_SLOW"": 1161.7245654296876, ""BB_BW"": 0.12491389903738309}"
RELIANCE.NS,2023-02-20,2023-03-06,short,1102.1654052734375,1099.5633544921875,45,14,-27.55338806152622,40.0,-27.55338806152622,-0.055554049287770454,TIME_EXIT,ENGULFING_BEAR,"USE_RSI,USE_SMA,USE_BB","RSI,SMA","{""RSI"": 43.51297645426195, ""SMA_FAST"": 1085.0285522460938, ""SMA_SLOW"": 1128.2569702148437, ""BB_BW"": 0.0730857978201069}"
RELIANCE.NS,2023-03-14,2023-03-28,short,1038.9635009765625,1026.2044677734375,48,14,-522.8695625000037,40.0,-522.8695625000037,-1.0484599194464364,TIME_EXIT,SHOOTING_STAR_BEAR,"USE_RSI,USE_SMA,USE_BB","RSI,SMA","{""RSI"": 44.90169760739415, ""SMA_FAST"": 1070.3179321289062, ""SMA_SLOW"": 1098.9640283203125, ""BB_BW"": 0.08071033362399103}"
RELIANCE.NS,2023-03-29,2023-04-12,short,1020.133056640625,1071.23779296875,49,14,2595.3706658935484,40.0,2595.3706658935484,5.192141156366925,HIT_SL,"EVENING_STAR_BEAR,HANGING_MAN_BEAR","USE_RSI,USE_SMA,USE_BB","RSI,SMA","{""RSI"": 38.87728310221784, ""SMA_FAST"": 1021.0870544433594, ""SMA_SLOW"": 1070.093807373047, ""BB_BW"": 0.1148385053710585}"
RELIANCE.NS,2023-04-20,2023-05-05,long,1070.9638671875,1114.650634765625,46,15,1919.3221750488347,40.0,1919.3221750488347,3.89596665098808,TIME_EXIT,HAMMER_BULL,"USE_RSI,USE_SMA,USE_BB","RSI,SMA","{""RSI"": 63.257198782374346, ""SMA_FAST"": 1069.8682983398437, ""SMA_SLOW"": 1063.5585998535157, ""BB_BW"": 0.09254888594827008}"
RELIANCE.NS,2023-05-09,2023-05-23,long,1131.9061279296875,1120.4937744140625,44,14,-591.6963525390529,40.0,-591.6963525390529,-1.188052970477682,TIME_EXIT,INVERTED_HAMMER_BULL,"USE_RSI,USE_SMA,USE_BB","RSI,SMA","{""RSI"": 72.91977864139923, ""SMA_FAST"": 1106.4587524414062, ""SMA_SLOW"": 1068.4522375488282, ""BB_BW"": 0.07973411045444327}"
RELIANCE.NS,2023-05-24,2023-06-07,long,1113.9658203125,1140.3970947265625,44,14,1073.3800900878996,40.0,1073.3800900878996,2.1899237483434413,TIME_EXIT,INVERTED_HAMMER_BULL,"USE_RSI,USE_SMA,USE_BB","RSI,SMA,BB","{""RSI"": 62.20144283292223, ""SMA_FAST"": 1121.7400268554688, ""SMA_SLOW"": 1076.9741247558593, ""BB_BW"": 0.05481464762217287}"
RELIANCE.NS,2023-06-08,2023-06-22,long,1141.081787109375,1157.4471435546875,43,14,614.2919551391635,40.0,614.2919551391635,1.2519575356671329,TIME_EXIT,INVERTED_HAMMER_BULL,"USE_RSI,USE_SMA,USE_BB","SMA,BB","{""RSI"": 50.496786676621284, ""SMA_FAST"": 1136.2109375, ""SMA_SLOW"": 1098.9402844238282, ""BB_BW"": 0.043662126947764945}"
RELIANCE.NS,2023-06-30,2023-07-14,long,1164.1805419921875,1251.120361328125,42,14,3560.7510931396496,40.0,3560.7510931396496,7.282357407109571,TIME_EXIT,HAMMER_BULL,"USE_RSI,USE_SMA,USE_BB","RSI,SMA,BB","{""RSI"": 62.033871696372216, ""SMA_FAST"": 1158.250634765625, ""SMA_SLOW"": 1128.954482421875, ""BB_BW"": 0.05433848777328863}"
RELIANCE.NS,2023-07-17,2023-07-31,long,1276.68408203125,1260.8065185546875,39,14,-708.7060422973536,40.0,-708.7060422973536,-1.4233709073574432,TIME_EXIT,MORNING_STAR_BULL,"USE_RSI,USE_SMA,USE_BB","RSI,SMA","{""RSI"": 71.81271740376897, ""SMA_FAST"": 1232.2441284179688, ""SMA_SLOW"": 1158.8052587890625, ""BB_BW"": 0.15013885513704622}"
RELIANCE.NS,2023-08-03,2023-08-18,long,1224.529052734375,1264.5406494140625,40,15,1510.682473144534,40.0,1510.682473144534,3.084211170349895,TIME_EXIT,INVERTED_HAMMER_BULL,"USE_RSI,USE_SMA,USE_BB","RSI,SMA","{""RSI"": 57.31447574994279, ""SMA_FAST"": 1241.0678466796876, ""SMA_SLOW"": 1192.2815209960938, ""BB_BW"": 0.07549806049916367}"
RELIANCE.NS,2023-08-22,2023-09-05,long,1250.44482421875,1202.89697265625,39,14,-1942.206375976555,40.0,-1942.206375976555,-3.982595834861595,TIME_EXIT,INVERTED_HAMMER_BULL,"USE_RSI,USE_SMA,USE_BB","SMA,BB","{""RSI"": 48.85172776448012, ""SMA_FAST"": 1257.3123657226563, ""SMA_SLOW"": 1221.3535131835938, ""BB_BW"": 0.042237942310253566}"
RELIANCE.NS,2023-09-08,2023-09-25,short,1215.1064453125,1161.6273193359375,41,17,-2103.921122863775,40.0,-2103.921122863775,-4.2230990985274275,TIME_EXIT,HANGING_MAN_BEAR,"USE_RSI,USE_SMA,USE_BB","RSI,SMA","{""RSI"": 38.693821027482606, ""SMA_FAST"": 1203.3435180664062, ""SMA_SLOW"": 1235.5122143554688, ""BB_BW"": 0.09047593199932878}"
RELIANCE.NS,2023-09-26,2023-10-11,short,1162.644775390625,1163.910400390625,43,15,144.44281127929844,40.0,144.44281127929844,0.28892188027952004,TIME_EXIT,SHOOTING_STAR_BEAR,"USE_RSI,USE_SMA,USE_BB","RSI,SMA","{""RSI"": 29.506542190822913, ""SMA_FAST"": 1192.2928100585937, ""SMA_SLOW"": 1230.4550439453126, ""BB_BW"": 0.0630528019058909}"
RELIANCE.NS,2023-10-12,2023-10-27,short,1166.0693359375,1124.5765380859375,42,15,-1654.5939464111402,40.0,-1654.5939464111402,-3.378452099548353,TIME_EXIT,SHOOTING_STAR_BEAR,"USE_RSI,USE_SMA,USE_BB","RSI,SMA","{""RSI"": 32.215853034804454, ""SMA_FAST"": 1153.6910278320313, ""SMA_SLOW"": 1207.2941284179688, ""BB_BW"": 0.08402967573601182}"
RELIANCE.NS,2023-11-01,2023-11-16,short,1140.2603759765625,1171.6778564453125,43,15,1440.6583321533155,40.0,1440.6583321533155,2.9382483903649224,TIME_EXIT,SHOOTING_STAR_BEAR,"USE_RSI,USE_SMA,USE_BB","RSI,SMA","{""RSI"": 43.58660655939791, ""SMA_FAST"": 1133.63447265625, ""SMA_SLOW"": 1178.818046875, ""BB_BW"": 0.058001077545820894}"
RELIANCE.NS,2023-11-24,2023-12-11,long,1188.1558837890625,1220.6405029296875,42,17,1273.7692797851578,40.0,1273.7692797851578,2.5525135555587517,TIME_EXIT,INVERTED_HAMMER_BULL,"USE_RSI,USE_SMA,USE_BB","RSI,SMA","{""RSI"": 69.0592224446576, ""SMA_FAST"": 1171.7299926757812, ""SMA_SLOW"": 1162.2193969726563, ""BB_BW"": 0.05999704699750922}"
RELIANCE.NS,2023-12-19,2024-01-03,long,1269.6527099609375,1282.16015625,39,15,398.03005438233004,40.0,398.03005438233004,0.8038338949105344,TIME_EXIT,HAMMER_BULL,"USE_RSI,USE_SMA,USE_BB","RSI,SMA","{""RSI"": 79.27435207467626, ""SMA_FAST"": 1227.4202880859375, ""SMA_SLOW"": 1173.517265625, ""BB_BW"": 0.07874948306511032}"
RELIANCE.NS,2024-01-04,2024-01-18,long,1288.7860107421875,1357.8995361328125,38,14,2536.026939453129,40.0,2536.026939453129,5.178326772790415,TIME_EXIT,"HARAMI_BULL,INVERTED_HAMMER_BULL","USE_RSI,USE_SMA,USE_BB","RSI,SMA","{""RSI"": 69.85741728266048, ""SMA_FAST"": 1283.74345703125, ""SMA_SLOW"": 1201.26291015625, ""BB_BW"": 0.09774843715323454}"
RELIANCE.NS,2024-01-24,2024-02-08,long,1334.00146484375,1439.4708251953125,37,15,3811.0570956420897,40.0,3811.0570956420897,7.7212466282806025,TIME_EXIT,HARAMI_BULL,"USE_RSI,USE_SMA,USE_BB","RSI,SMA","{""RSI"": 60.900818775193414, ""SMA_FAST"": 1349.3974975585938, ""SMA_SLOW"": 1251.9165014648438, ""BB_BW"": 0.10429974062114464}"
RELIANCE.NS,2024-02-19,2024-03-04,long,1463.17041015625,1496.3250732421875,34,14,1036.9471217041037,40.0,1036.9471217041037,2.0844082510352404,TIME_EXIT,HARAMI_BULL,"USE_RSI,USE_SMA,USE_BB","RSI,SMA","{""RSI"": 64.40515965080463, ""SMA_FAST"": 1447.76689453125, ""SMA_SLOW"": 1337.2171459960937, ""BB_BW"": 0.1245581804670061}"
RELIANCE.NS,2024-03-05,2024-03-15,long,1489.1778564453125,1407.80517578125,33,10,-2773.098681945795,40.0,-2773.098681945795,-5.642931972738664,HIT_SL,HAMMER_BULL,"USE_RSI,USE_SMA,USE_BB","RSI,SMA,BB","{""RSI"": 62.48339396908104, ""SMA_FAST"": 1472.3226806640625, ""SMA_SLOW"": 1389.3090991210938, ""BB_BW"": 0.04697159681147831}"
RELIANCE.NS,2024-04-02,2024-04-18,long,1476.025146484375,1453.56640625,33,16,-829.4766883544878,40.0,-829.4766883544878,-1.7029287937764377,TIME_EXIT,INVERTED_HAMMER_BULL,"USE_RSI,USE_SMA,USE_BB","RSI,SMA","{""RSI"": 55.144914305288715, ""SMA_FAST"": 1449.9160034179688, ""SMA_SLOW"": 1437.927744140625, ""BB_BW"": 0.07601620977409743}"
RELIANCE.NS,2024-04-30,2024-05-15,short,1456.2218017578125,1405.86962890625,34,15,-1623.3183226318388,40.0,-1623.3183226318388,-3.2786665115411986,TIME_EXIT,SHOOTING_STAR_BEAR,"USE_RSI,USE_SMA,USE_BB","RSI,SMA,BB","{""RSI"": 43.378549837903485, ""SMA_FAST"": 1452.6582397460938, ""SMA_SLOW"": 1457.0551806640624, ""BB_BW"": 0.02790428032944769}"
