Ticker,Price,LastState,BullState,Reg_p_up_first,Reg_p_dn_first,Reg_p_neither,Reg_exp_ret,Reg_var95,Reg_es95,GBM_p_up_first,GBM_exp_ret,GoLong
RELIANCE.NS,1378.5,1,0,0.5015,0.4985,0.0,852.5878544388302,-0.9968380626595549,-0.9987652498559472,0.36455,0.015771508706681998,False
INFY.NS,1432.9000244140625,0,2,0.4721,0.5279,0.0,2295.3774582345363,-0.999325180668783,-0.9997707418717942,0.3366,0.007353412169264473,False
TCS.NS,3019.0,2,1,0.4168,0.5832,0.0,173.70726305515575,-0.999701206452532,-0.9998881847572538,0.32095,0.006806880025431029,False
