entry_time,exit_time,side,entry_price,exit_price,reason,bars,gross_ret_pct,pnl,equity_after,ticker
2020-12-10,2021-02-08,LONG,254.05079999999998,289.1671611022949,TP_hit,39,13.822574501751195,13743.908566045313,113585.87296604531,360ONE.NS
2022-08-01,2022-09-19,LONG,419.10879889526365,456.9710875,TP_hit,31,9.033999931411184,10161.12682646632,123320.5025281875,360ONE.NS
2023-07-07,2023-07-18,LONG,477.0954,544.891,TP_hit,6,14.21007203171525,17420.973860999995,140511.587061,360ONE.NS
2025-06-19,2025-07-04,LONG,1122.5744455810548,1226.3546555908204,TP_hit,10,9.244839878396483,12895.879085246273,153217.68478287812,360ONE.NS
2019-10-23,2019-10-30,LONG,1398.382037475586,1345.9036169921876,SL_hit,4,-3.752795665062636,-3773.7474327245086,95511.3772280421,ABB.NS
2020-11-17,2021-02-09,LONG,997.1994,1493.4012111816407,MaxHold,56,49.75953767938896,47068.23550472474,141802.17850472475,ABB.NS
2023-03-06,2023-04-17,LONG,3340.5678823242188,3249.35,SL_hit,24,-2.730610050071891,-3899.3874076171924,136404.46365,ABB.NS
2020-08-24,2020-10-20,LONG,1425.4350544189454,1581.7835555908202,TP_hit,39,10.968475953161372,10889.032657585563,110669.48646691174,ACC.NS
2022-09-08,2022-09-15,LONG,2421.334267675781,2769.4960388183595,TP_hit,4,14.378922224430246,15604.966040542613,124565.00808595275,ACC.NS
2023-09-28,2023-12-11,LONG,2020.15395,2132.023461181641,MaxHold,47,5.5376725710256425,6759.0134665140595,129988.40441651405,ACC.NS
2025-07-03,2025-07-11,LONG,250.1400143371582,293.8412138977051,TP_hit,5,17.470695232967802,17378.157302485615,117184.02302301173,ACMESOLAR.NS
2020-02-03,2020-03-11,LONG,1785.357,1769.646,SL_hit,24,-0.8799920688131291,-912.7702650000007,97281.864735,AIAENG.NS
2020-06-12,2020-06-16,LONG,1660.4319955810547,1599.68,SL_hit,1,-3.6588066083245385,-3570.006463701169,92735.04928,AIAENG.NS
2021-06-21,2021-09-15,LONG,1958.64165,2089.582,MaxHold,58,6.685263228217364,6105.091272999993,98161.24882299999,AIAENG.NS
2022-05-23,2022-08-16,LONG,1780.356,2578.3343276367186,MaxHold,58,44.82127886988436,43817.90382600952,141737.4838260095,AIAENG.NS
2024-06-19,2024-09-12,LONG,4122.424417675781,4299.14,MaxHold,58,4.286690656268033,5935.244419023453,146097.67462,AIAENG.NS
2019-12-27,2020-02-12,LONG,172.5245034942627,203.9592,MaxHold,32,18.220424269635814,18141.643088421908,118033.33061160002,APLAPOLLO.NS
2020-08-14,2020-09-30,LONG,216.04319999999998,292.4415,MaxHold,32,35.36251083116713,41633.635270500024,159593.2224705,APLAPOLLO.NS
2022-08-29,2022-10-17,LONG,958.0916044189453,1116.8765555908203,MaxHold,32,16.57304483616402,26265.60114041722,185308.80747396214,APLAPOLLO.NS
2025-03-03,2025-03-13,LONG,1426.6352455810547,1403.7692388183593,DeathCross,7,-1.6027927834758038,-3040.2579882914915,180995.68869166455,APLAPOLLO.NS
2025-05-16,2025-07-02,LONG,1785.2570044189454,1771.6456,MaxHold,32,-0.7624338896446758,-1464.2199491134766,178846.73749720003,APLAPOLLO.NS
2020-08-14,2020-08-24,LONG,362.5725,362.92740000000003,DeathCross,5,0.09788387150158062,47.6949825000119,99755.1324825,AUBANK.NS
2020-10-22,2020-11-12,LONG,388.0776,424.4151,TP_hit,14,9.363462359074571,9248.074867199994,108595.9404672,AUBANK.NS
2022-01-19,2022-02-04,LONG,631.87635,692.11155,TP_hit,10,9.532751146644426,10241.043662474995,118291.89951247499,AUBANK.NS
2022-04-05,2022-04-28,LONG,669.6339,694.861,MaxHold,14,3.7672973247023345,4378.821831999991,122234.388232,AUBANK.NS
2022-08-22,2022-09-13,LONG,634.9269477905274,662.6674277954102,MaxHold,14,4.369082159989657,5262.556087869135,127168.53006365038,AUBANK.NS
2022-12-02,2022-12-23,LONG,638.0276044189453,661.3677,MaxHold,14,3.6581639131916033,4578.872934479885,131546.36621385,AUBANK.NS
2023-02-16,2023-02-20,LONG,639.1278,613.6772277954102,SL_hit,1,-3.9820787336413477,-5280.2692177899335,125740.92978221006,AUBANK.NS
2023-05-02,2023-05-19,LONG,670.0840022094726,747.4504555908203,TP_hit,12,11.54578427872428,14397.640164714277,139703.34857788566,AUBANK.NS
2023-11-22,2023-12-14,LONG,720.144,740.3519,MaxHold,14,2.806091559465873,3828.6807416499987,142816.47274165,AUBANK.NS
2024-09-13,2024-10-07,LONG,723.1446,725.9547555908204,MaxHold,14,0.3886021676467344,482.09410796592033,142941.58030796592,AUBANK.NS
2025-05-06,2025-05-27,LONG,679.6359,709.8580000000001,MaxHold,14,4.446807474413883,6272.105910000014,148995.64491000003,AUBANK.NS
2024-08-16,2024-08-22,LONG,356.87134779052735,401.2697361022949,TP_hit,3,12.44100670637982,12375.3709642406,112299.34834558825,AWL.NS
2025-05-15,2025-07-17,LONG,450.5901,505.09897220458987,TP_hit,44,12.097219225320277,11990.647320785753,111571.05942078575,AADHARHFC.NS
2020-01-15,2020-01-30,LONG,427.0854,497.5754527954102,TP_hit,10,16.504908103955373,16436.456026148917,116374.43962614892,AARTIIND.NS
2023-12-04,2023-12-27,LONG,564.1128,635.8728,TP_hit,15,12.720860083302487,14717.065101599997,130924.3019016,AARTIIND.NS
2020-11-26,2021-02-18,LONG,1570.314,2259.5480000000002,MaxHold,56,43.891476481773715,43350.566238000014,142280.348238,AAVAS.NS
