entry_idx,exit_idx,entry_date,exit_date,entry_px,exit_px,ret,confirmations_true,exit_reason,equity,ticker
346,376,2016-05-31,2016-07-13,148.3391100351749,167.60928887876418,0.12990625896986852,MACD|ADX|CCI|SLOPE|VOLUME,TP,1.1299062589698685,EXIDEIND.NS
761,807,2018-01-31,2018-04-11,204.95038152031972,223.2495411388356,0.0892858041188942,RSI|ADX|SLOPE|VOLUME,TP,1.2307908478809648,EXIDEIND.NS
1416,1457,2020-09-30,2020-11-27,159.28741662118134,179.4449197986122,0.126547994844876,MACD|RSI|CCI|SLOPE,TP,1.3865449617537258,EXIDEIND.NS
1899,1957,2022-09-12,2022-12-06,172.741747186674,188.42317826345158,0.09077962526239469,MACD|ADX|CCI|SLOPE|VOLUME,MaxHold,1.5124149937911904,EXIDEIND.NS
