ticker,entry_date,entry_price,exit_date,exit_price,days_held,shares,entry_reason,exit_reason,gross_pnl_inr,fees_total_inr,net_pnl_inr,return_pct,rsi_entry,macd_entry,macd_sig_entry,bb_up_entry,bb_lo_entry,ema_fast_entry,ema_slow_entry,ema_htf_entry,trend_strength_entry,close_entry,high_52w_entry,volar_entry,mvo_weight_entry,alloc_inr_entry,adx_entry
HCLTECH.NS,2011-01-04,81.0915756225586,2011-01-06,83.4127293641805,2,183,"EMA10>50 & Close>EMA200; Confirms: RSI(5), MACD(5), BB(3) need 2; 52w%=98.8%; VOLAR rank 3/3 (VOLAR=0.43); MVO weight=29.7% of capped cash (25% of available)",indicator_exit_rsi_ob,424.7711347168101,92.57939217216605,332.19174254464406,2.8623857950741405,68.66504244442176,1.9491912991614413,2.0072296580480944,82.4059825502559,74.73653377664839,79.758593124546,75.61776806782126,70.69902808040983,0.05185064101165624,79.86063385009766,80.8014144897461,0.4269065061730834,0.2968926816237665,14844.634081188324,11.093786910926298
LINDEINDIA.NS,2011-01-04,333.65545654296875,2011-01-05,326.32038707078937,1,89,"EMA10>50 & Close>EMA200; Confirms: RSI(5), MACD(5), BB(3) need 2; 52w%=100.0%; VOLAR rank 1/3 (VOLAR=1.41); MVO weight=59.5% of capped cash (25% of available)",stop,-652.8211830239652,136.18929844662637,-789.0104814705916,-2.19839637816166,86.31631099814453,5.978201433480081,2.678323673646389,328.437597492608,279.9479951587592,315.02773226018513,302.90336003348415,268.1821588209873,0.03575280207265776,339.11669921875,339.11669921875,1.414407672384654,0.595022607505331,29751.130375266548,14.99827607910486
SARDAEN.NS,2011-01-04,26.12173843383789,2011-01-05,25.463766877560104,1,206,"EMA10>50 & Close>EMA200; Confirms: RSI(5), MACD(5), BB(3) need 2; 52w%=91.7%; VOLAR rank 2/3 (VOLAR=0.57); MVO weight=10.8% of capped cash (25% of available)",stop,-135.542140593224,47.9706795696539,-183.5128201628779,-2.5188658784878415,71.71602578045402,0.25843354202928737,0.0014490640700903126,27.068153914804363,21.515758362417316,24.89895511641301,24.078912446761485,21.81163806903057,0.03073425197942644,26.681718826293945,29.095136642456055,0.5677218037531883,0.10808471087090259,5404.235543545129,16.306568743259422
COROMANDEL.NS,2011-01-05,225.8619842529297,2011-01-06,222.4113638676397,1,68,"EMA10>50 & Close>EMA200; Confirms: RSI(5), MACD(5), BB(3) need 2; 52w%=88.6%; VOLAR rank 2/3 (VOLAR=2.34); MVO weight=33.4% of capped cash (25% of available)",indicator_exit_macd_bear,-234.64218619971962,93.49606503923934,-328.13825123895896,-1.527756163439109,40.64377565187472,1.5280014417946575,1.4178757348483664,252.1542613365044,217.65855909806592,237.10400245275,234.3000629435201,199.8151401944028,0.012092130469185369,231.88134765625,261.82501220703125,2.344832043692962,0.33420247783818857,15386.062687722673,29.45510204175702
TITAN.NS,2011-01-05,169.02047729492188,2011-01-07,160.38204510163067,2,118,"EMA10>50 & Close>EMA200; Confirms: RSI(5), MACD(5), BB(3) need 2; 52w%=88.2%; VOLAR rank 1/3 (VOLAR=2.70); MVO weight=43.4% of capped cash (25% of available)",stop,-1019.3349988083626,112.78111973823563,-1132.1161185465983,-5.110879067166585,55.10573578532178,-0.07085892537671157,-1.5216372871115538,172.02720434195962,152.43873498909508,165.1111081021484,163.59294806213654,136.06323740336975,0.00894110067951127,169.795654296875,192.4849395751953,2.7008325445027874,0.4342192791181084,19990.650853174346,25.76946334002167
UBL.NS,2011-01-05,478.3518981933594,2011-01-07,465.3348583510112,2,22,"EMA10>50 & Close>EMA200; Confirms: RSI(5), MACD(5), BB(3) need 2; 52w%=98.7%; VOLAR rank 3/3 (VOLAR=2.18); MVO weight=23.2% of capped cash (25% of available)",stop,-286.37487653166033,71.21436813784267,-357.589244669503,-2.7212267561832593,73.56293133260161,23.5746703068408,17.980829497860633,526.3534063638693,359.37853943691186,475.33866460065923,428.74336352480185,338.29742754670633,0.09455848552653963,492.7669982910156,499.2755432128906,2.177694017275576,0.23157824304370306,10661.433115730022,28.31941573431199
LINDEINDIA.NS,2011-01-06,320.3318176269531,2011-01-07,313.0814977635693,1,105,"EMA10>50 & Close>EMA200; Confirms: RSI(5), MACD(5), BB(3) need 2; 52w%=97.7%; VOLAR rank 1/2 (VOLAR=1.26); MVO weight=80.1% of capped cash (25% of available)",stop,-761.2835856553013,144.84143738355667,-906.125023038858,-2.2633779925749664,77.66034523666838,7.8061296803644495,4.421031186559296,336.7221304320866,278.0992929077571,320.7319777778667,305.1701439233727,269.4537994238423,0.04699185784473015,331.16021728515625,339.11669921875,1.2633366372784622,0.8006492927171531,33725.5983556936,15.563023346080385
SARDAEN.NS,2011-01-06,25.230506896972656,2011-01-10,24.10759514443574,4,332,"EMA10>50 & Close>EMA200; Confirms: RSI(5), MACD(5), BB(3) need 2; 52w%=86.3%; VOLAR rank 2/2 (VOLAR=0.60); MVO weight=19.9% of capped cash (25% of available)",stop,-372.80670184225573,61.178143603886014,-433.9848454461418,-4.45061114753763,64.70590782072803,0.3279943250948172,0.12172178943954828,26.51386345972572,21.85236788640465,25.118912401845463,24.196248283063085,21.886900127074163,0.03674743204234712,25.108261108398438,29.095136642456055,0.6025135226680105,0.19935070728284673,8397.212046398268,14.801632649179613
COROMANDEL.NS,2011-01-07,221.64453125,2011-01-10,217.73767252673935,3,92,"EMA10>50 & Close>EMA200; Confirms: RSI(5), MACD(5), BB(3) need 2; 52w%=87.3%; VOLAR rank 1/3 (VOLAR=2.27); MVO weight=43.6% of capped cash (25% of available)",stop,-359.4310025399802,115.79392610444151,-475.22492864442177,-1.7626686754810938,33.98873183472293,-0.02759264350655144,0.9884665112132001,251.36530357958088,219.42328589795818,233.86862867172078,233.7549737262821,200.35722967534093,0.0004973795808190544,228.50746154785156,261.82501220703125,2.266653494786594,0.4358164332385616,20509.449533316885,31.743659169117926
ELGIEQUIP.NS,2011-01-07,41.61171340942383,2011-01-10,40.84595941022615,3,344,"EMA10>50 & Close>EMA200; Confirms: RSI(5), MACD(5), BB(3) need 2; 52w%=91.3%; VOLAR rank 3/3 (VOLAR=1.89); MVO weight=30.5% of capped cash (25% of available)",stop,-263.4193757240011,88.64486004090337,-352.0642357649045,-1.8402366460215425,56.4748131823471,-0.16170104425000176,-0.16274391047779754,43.69145287863283,41.062360292753894,42.30608314207373,41.58668145239301,33.47461368262674,0.016883385011168643,42.61003875732422,46.68272399902344,1.891681604503554,0.3045339516613327,14331.317583338496,16.01731782212761
