ticker,signal_date,close,ema10,ema20,rsi,macd_hist,adx,pdi,mdi,sma50,bb_mid,confirm,sig_reason,high_52w,volar
MUTHOOTFIN.NS,2025-10-08,3263.10009765625,3156.825240223944,3068.829996306976,81.37191978916375,12.539907193024632,37.37586805998855,33.75525628998509,11.785119510025874,2841.06201171875,3058.2000244140627,"RSI>50, MACD>Signal, ADX>20 & +DI>-DI, Close>SMA50, Close>BBmid","EMA10>EMA20 & 2xGreenStrict; confirms: RSI>50, MACD>Signal, ADX>20 & +DI>-DI, Close>SMA50, Close>BBmid",3263.10009765625,1.9880456828700392
AIIL.NS,2025-10-08,3290.10009765625,3164.5689793152355,3130.5250233975153,51.00151900646724,13.425622446661336,16.528752532850863,24.87180855084066,18.090545707252968,3033.488017578125,3136.59501953125,"RSI>50, MACD>Signal, Close>SMA50, Close>BBmid","EMA10>EMA20 & 2xGreenStrict; confirms: RSI>50, MACD>Signal, Close>SMA50, Close>BBmid",3290.10009765625,1.3932910246648942
NETWEB.NS,2025-10-08,4360.10009765625,4015.2096000997735,3660.709611223481,83.20278129598556,56.79283347237612,66.00651053630557,41.06420257133547,3.5001112101579976,2818.9164697265624,3563.335009765625,"RSI>50, MACD>Signal, ADX>20 & +DI>-DI, Close>SMA50, Close>BBmid","EMA10>EMA20 & 2xGreenStrict; confirms: RSI>50, MACD>Signal, ADX>20 & +DI>-DI, Close>SMA50, Close>BBmid",4360.10009765625,1.1621034228240297
KARURVYSYA.NS,2025-10-08,225.11000061035156,215.374061327287,213.72870068943269,57.13297445349961,1.3205456131848503,20.428186871054464,33.87053540084777,12.088486048940519,213.45786376953126,213.17350006103516,"RSI>50, MACD>Signal, ADX>20 & +DI>-DI, Close>SMA50, Close>BBmid","EMA10>EMA20 & 2xGreenStrict; confirms: RSI>50, MACD>Signal, ADX>20 & +DI>-DI, Close>SMA50, Close>BBmid",226.06568908691406,1.0702181056408717
SRF.NS,2025-10-08,2972.699951171875,2918.808098085711,2913.6231576209343,53.71427564447571,11.356346023536824,15.476726577206247,27.7438476685178,19.270958642889806,2921.8339892578124,2919.734997558594,"RSI>50, MACD>Signal, Close>SMA50, Close>BBmid","EMA10>EMA20 & 2xGreenStrict; confirms: RSI>50, MACD>Signal, Close>SMA50, Close>BBmid",3282.19921875,1.0040028860198336
ITI.NS,2025-10-08,356.6499938964844,321.55367409913396,316.1493325867643,73.7529656775155,2.9130662193105987,31.953260637776694,47.58898586159922,9.17529468670099,305.3479968261719,316.32999725341796,"RSI>50, MACD>Signal, ADX>20 & +DI>-DI, Close>SMA50, Close>BBmid","EMA10>EMA20 & 2xGreenStrict; confirms: RSI>50, MACD>Signal, ADX>20 & +DI>-DI, Close>SMA50, Close>BBmid",544.3499755859375,0.9876276851666655
MRF.NS,2025-10-08,155210.0,151620.37760011692,150392.62363018448,60.96866096866097,390.668118739625,18.615306304876615,36.15346302054581,14.392542897757707,147433.2,150274.75,"RSI>50, MACD>Signal, Close>SMA50, Close>BBmid","EMA10>EMA20 & 2xGreenStrict; confirms: RSI>50, MACD>Signal, Close>SMA50, Close>BBmid",155935.0,0.8690964822390556
BHARTIARTL.NS,2025-10-08,1943.5,1912.4180977917613,1911.7649394473315,50.59702063594344,1.041655136761054,15.824980817650731,33.70519720381536,19.431802256112416,1906.6399951171875,1918.5349853515625,"RSI>50, MACD>Signal, Close>SMA50, Close>BBmid","EMA10>EMA20 & 2xGreenStrict; confirms: RSI>50, MACD>Signal, Close>SMA50, Close>BBmid",2017.037841796875,0.861854090766546
ETERNAL.NS,2025-10-08,341.6499938964844,333.31203299103305,330.3965625446787,61.39454908475839,-0.04661866293382477,22.42155524791008,24.583684095067127,16.70504826440489,321.08699890136717,330.93999938964845,"RSI>50, ADX>20 & +DI>-DI, Close>SMA50, Close>BBmid","EMA10>EMA20 & 2xGreenStrict; confirms: RSI>50, ADX>20 & +DI>-DI, Close>SMA50, Close>BBmid",341.8500061035156,0.7156696706910405
SBICARD.NS,2025-10-08,920.2000122070312,892.1403221298345,878.0811058549457,61.5197991613962,2.7862888536280668,27.294730162489333,34.7576347477772,13.303162365449852,837.1459985351562,882.9875,"RSI>50, MACD>Signal, ADX>20 & +DI>-DI, Close>SMA50, Close>BBmid","EMA10>EMA20 & 2xGreenStrict; confirms: RSI>50, MACD>Signal, ADX>20 & +DI>-DI, Close>SMA50, Close>BBmid",1017.0,0.7100250535992191
FEDERALBNK.NS,2025-10-08,202.61000061035156,195.95986200410107,195.25450437680075,58.737475448466185,0.8656375058600906,17.88936441892369,34.50824262010041,16.04472340543173,195.0745864868164,195.3104995727539,"RSI>50, MACD>Signal, Close>SMA50, Close>BBmid","EMA10>EMA20 & 2xGreenStrict; confirms: RSI>50, MACD>Signal, Close>SMA50, Close>BBmid",217.4039306640625,0.5698775450407377
NUVAMA.NS,2025-10-08,7009.5,6649.629974144523,6551.117060247325,73.15846209126842,113.44159785931868,24.228321864457772,33.48576349350686,15.915903217937116,6655.62,6425.65,"RSI>50, MACD>Signal, ADX>20 & +DI>-DI, Close>SMA50, Close>BBmid","EMA10>EMA20 & 2xGreenStrict; confirms: RSI>50, MACD>Signal, ADX>20 & +DI>-DI, Close>SMA50, Close>BBmid",8287.5,0.48023496577285407
