entry_time,exit_time,dir,entry,exit,qty,gross,net,brokerage,stt,stamp,exchange,sebi,ipf,gst
2025-05-21 10:05:00+05:30,2025-05-21 11:20:00+05:30,long,436.25,436.54998779296875,1146,343.7860107421875,244.35321895415163,40,0.0,14.998275,29.706794944519043,1.0002287860107422,1.0002287860107422,12.727264271495361
2025-05-21 14:15:00+05:30,2025-05-21 15:00:00+05:30,short,433.8500061035156,433.3500061035156,1152,576.0,351.68531145335936,40,124.9488017578125,14.9765762109375,29.67072809765625,0.9990144140624999,0.9990144140624999,12.720553652109375
2025-05-26 09:15:00+05:30,2025-05-26 10:30:00+05:30,long,437.8999938964844,437.6499938964844,1141,-285.25,-384.62818519888464,40,0.0,14.98931679107666,29.67037532133179,0.9990025360717774,0.9990025360717774,12.72048801433264
2025-05-27 10:50:00+05:30,2025-05-27 12:15:00+05:30,long,438.20001220703125,440.5,1141,2624.2860717773438,2524.763820086805,40,0.0,14.99958641784668,29.777122403668212,1.0025967139282226,1.0025967139282226,12.740349441167359
2025-05-29 09:25:00+05:30,2025-05-29 12:55:00+05:30,short,420.29998779296875,417.70001220703125,1189,3091.3709716796875,2867.2461245408026,40,124.93417137145997,14.899359435424804,29.5925454,0.9963819999999999,0.9963819999999999,12.706006932
2025-05-30 10:00:00+05:30,2025-05-30 11:15:00+05:30,short,418.1499938964844,417.5,1195,776.7427062988281,552.4790721482688,40,124.92231067657471,14.967375,29.658471758377075,0.9986017427062988,0.9986017427062988,12.718273230195006
2025-06-02 12:40:00+05:30,2025-06-02 14:40:00+05:30,short,419.6000061035156,419.3500061035156,1191,297.75,73.43489545768665,40,124.93590181732178,14.983375718078614,29.675927096795654,0.9991894645385742,0.9991894645385742,12.72152098104016
2025-06-03 11:35:00+05:30,2025-06-03 13:55:00+05:30,short,418.3999938964844,417.1499938964844,1195,1493.75,1269.428674846767,40,124.9969981765747,14.954827281188965,29.65492239175415,0.9984822354125976,0.9984822354125976,12.717612832890014
2025-06-04 13:50:00+05:30,2025-06-04 15:00:00+05:30,short,418.0,417.25,1196,897.0,672.659822266,40,124.982,14.970930000000001,29.6690823,0.9989589999999999,0.9989589999999999,12.720247434
2025-06-04 15:10:00+05:30,2025-06-04 15:15:00+05:30,short,417.3500061035156,416.45001220703125,1198,1078.1926879882812,853.8443784225667,40,124.99632682800294,14.967213438720703,29.667104931500244,0.9988924219360351,0.9988924219360351,12.71987952361853
2025-06-05 12:55:00+05:30,2025-06-05 15:00:00+05:30,short,419.75,418.54998779296875,1191,1429.2145385742188,1204.912177593789,40,124.9805625,14.954791063842773,29.652933978204345,0.9984152854614257,0.9984152854614257,12.717242867459838
2025-06-06 10:25:00+05:30,2025-06-06 11:00:00+05:30,short,419.75,420.75,1191,-1191.0,-1415.478507523,40,124.9805625,15.0333975,29.73075435,1.0010355,1.0010355,12.731722173
2025-06-06 12:05:00+05:30,2025-06-06 13:55:00+05:30,short,420.1499938964844,420.79998779296875,1190,-773.4927368164062,-997.9631123466816,40,124.9946231842041,15.022559564208985,29.72169520285034,1.0007304782104491,1.0007304782104491,12.73003662259094
2025-06-09 09:40:00+05:30,2025-06-09 10:05:00+05:30,long,421.6499938964844,421.1499938964844,1185,-592.5,-691.8679330125336,40,0.0,14.98965728302002,29.661924170379642,0.998717985534668,0.998717985534668,12.718915588064577
2025-06-11 10:30:00+05:30,2025-06-11 12:40:00+05:30,long,427.1000061035156,426.54998779296875,1170,-643.5214233398438,-742.8928639212421,40,0.0,14.9912102142334,29.66348363790894,0.9987704928588867,0.9987704928588867,12.719205743538208
2025-06-11 14:20:00+05:30,2025-06-11 15:00:00+05:30,long,426.0,425.8500061035156,1173,-175.94284057617188,-275.33074642398856,40,0.0,14.99094,29.676835697634885,0.9992200571594239,0.9992200571594239,12.721690035862974
2025-06-16 11:55:00+05:30,2025-06-16 13:30:00+05:30,short,417.5,418.1000061035156,1197,-718.2073059082031,-942.5920889825501,40,124.936875,15.013971219177247,29.706332256985473,1.0002132073059082,1.0002132073059082,12.727178183572448
2025-06-19 12:25:00+05:30,2025-06-19 15:00:00+05:30,short,417.25,416.25,1198,1198.0,973.702210542,40,124.966375,14.960025,29.6564301,0.9985329999999999,0.9985329999999999,12.717893357999998
2025-06-20 12:00:00+05:30,2025-06-20 13:15:00+05:30,short,418.54998779296875,418.8999938964844,1194,-417.90728759765625,-642.2723028791652,40,124.93717135620118,15.00499778137207,29.69748376067505,0.9999152781372069,0.9999152781372069,12.725531826986208
2025-06-20 13:20:00+05:30,2025-06-20 15:00:00+05:30,short,418.45001220703125,419.04998779296875,1194,-716.370849609375,-940.713618165918,40,124.90732864379883,15.010370562744141,29.6992575,0.9999749999999998,0.9999749999999998,12.725861850000001
2025-06-23 14:55:00+05:30,2025-06-23 15:00:00+05:30,short,416.79998779296875,415.8500061035156,1199,1139.0280456542969,914.7696464151352,40,124.93579634094239,14.958124719543457,29.650916077651978,0.9983473426818847,0.9983473426818847,12.716867415660094
2025-06-24 10:45:00+05:30,2025-06-24 11:25:00+05:30,short,417.25,419.3999938964844,1198,-2575.6926879882812,-2800.244167710924,40,124.966375,15.07323578063965,29.76850877283325,1.0023066926879882,1.0023066926879882,12.738746783793825
2025-06-25 11:40:00+05:30,2025-06-25 13:10:00+05:30,short,417.3999938964844,417.20001220703125,1197,239.37808227539062,15.100104330343441,40,124.90694817352295,14.981652438354493,29.670781356985472,0.9990162073059081,0.9990162073059081,12.72056356157245
2025-06-25 14:10:00+05:30,2025-06-25 15:00:00+05:30,short,417.20001220703125,416.54998779296875,1198,778.729248046875,554.4244991845899,40,124.95140365600587,14.970806561279296,29.665325250000002,0.9988325,0.9988325,12.719548395
2025-06-26 11:25:00+05:30,2025-06-26 13:15:00+05:30,short,417.8999938964844,418.1000061035156,1196,-239.214599609375,-463.58876545941797,40,124.95209817504883,15.00142821899414,29.6957232,0.999856,0.999856,12.725204256
2025-06-27 10:05:00+05:30,2025-06-27 11:50:00+05:30,short,419.8500061035156,420.3999938964844,1190,-654.4854736328125,-878.8213145657129,40,124.9053768157959,15.008279782104493,29.69695575,0.9998974999999999,0.9998974999999999,12.725433585
2025-06-27 14:05:00+05:30,2025-06-27 15:00:00+05:30,short,418.8999938964844,418.5,1193,477.1927185058594,252.88822908409378,40,124.93692317962646,14.978115,29.670840323739625,0.9990181927185058,0.9990181927185058,12.720574532962464
2025-07-01 10:10:00+05:30,2025-07-01 11:10:00+05:30,short,416.6499938964844,417.0,1200,-420.00732421875,-644.4544679950438,40,124.99499816894532,15.012,29.711285782470704,1.0003799926757813,1.0003799926757813,12.728099839526365
2025-07-01 13:35:00+05:30,2025-07-01 15:00:00+05:30,short,416.20001220703125,415.20001220703125,1201,1201.0,976.7057034271053,40,124.96405366516113,14.959656439819335,29.655789450842285,0.998511429321289,0.998511429321289,12.717774158429442
2025-07-02 14:15:00+05:30,2025-07-02 15:00:00+05:30,short,413.5,413.25,1209,302.25,77.87214354050002,40,124.98037500000001,14.9885775,29.686360275,0.99954075,0.99954075,12.723462184499999
2025-07-03 14:15:00+05:30,2025-07-03 15:00:00+05:30,short,413.8500061035156,412.95001220703125,1208,1087.192626953125,862.8642400296733,40,124.98270184326172,14.965308442382813,29.66360033693848,0.9987744221191406,0.9987744221191406,12.719227456630373
2025-07-04 13:15:00+05:30,2025-07-04 15:00:00+05:30,short,412.8500061035156,412.3999938964844,1211,544.9647827148438,320.5891154672451,40,124.99033934783935,14.982491778259277,29.681519175,0.99937775,0.99937775,12.722561446499999
2025-07-07 14:00:00+05:30,2025-07-07 15:00:00+05:30,short,416.1499938964844,416.1499938964844,1201,0.0,-224.35374236155263,40,124.94903566741944,14.993884280090333,29.68789087457886,0.9995922853393554,0.9995922853393554,12.723746968785278
2025-07-07 15:20:00+05:30,2025-07-07 15:25:00+05:30,short,416.20001220703125,416.3999938964844,1201,-240.17800903320312,-464.5691902389332,40,124.96405366516113,15.002891780090332,29.698592437710573,0.9999526073303222,0.9999526073303222,12.725738108107361
2025-07-08 09:15:00+05:30,2025-07-08 10:25:00+05:30,short,415.95001220703125,416.54998779296875,1202,-721.170654296875,-945.6351808149024,40,124.9929786682129,15.020792559814453,29.7197505,1.000665,1.000665,12.729674789999999
2025-07-09 13:45:00+05:30,2025-07-09 15:00:00+05:30,short,419.75,419.54998779296875,1191,238.21453857421875,13.832111427788902,40,124.9805625,14.990521063842774,29.68830667820435,0.9996062854614257,0.9996062854614257,12.72382433345984
2025-07-09 15:20:00+05:30,2025-07-09 15:25:00+05:30,short,419.25,419.25,1192,0.0,-224.335969192,40,124.93650000000001,14.99238,29.6849124,0.9994919999999999,0.9994919999999999,12.723192792
2025-07-10 09:15:00+05:30,2025-07-10 09:25:00+05:30,long,420.0,418.6000061035156,1190,-1665.9927368164062,-1765.3358281707856,40,0.0,14.994,29.638640015716554,0.9979340072631835,0.9979340072631835,12.714583324136353
2025-07-10 14:45:00+05:30,2025-07-10 15:00:00+05:30,short,417.8500061035156,416.8500061035156,1196,1196.0,971.7435089413697,40,124.93715182495117,14.95657821899414,29.6495460736084,0.9983012145996093,0.9983012145996093,12.716612511877441
