symbol,ppo,ppo_slope,rs_level_3m,rs_momentum,regime_bull,above_50,above_200,breakout_20,breakout_55,dist_52w,bbw_pct,adx,adx_rising,di_plus_gt,pct_above50_last21
^CNXAUTO,0.001375,-0.000089,0.084517,0.000982,1,1,1,0,0,-2.011752,0.269841,28.628119,1,0,0.904762
^CNXENERGY,0.006614,0.000347,-0.008801,0.000034,1,1,1,0,0,-9.701740,0.571429,25.758857,1,0,1.000000
^CNXFMCG,0.001501,-0.000021,-0.038203,-0.001745,0,0,1,0,0,-6.723515,0.896825,33.796860,0,0,0.571429
^CNXINFRA,0.010488,0.000312,0.004441,0.000067,1,1,1,0,0,-2.776384,0.841270,61.185683,0,1,1.000000
^CNXIT,0.001626,0.000373,-0.030764,-0.000851,0,0,0,0,0,-23.650316,0.071429,35.906112,0,0,0.809524
^CNXMEDIA,-0.012354,0.000006,-0.121732,-0.000138,0,0,0,0,0,-28.517956,0.349206,39.022779,1,0,0.000000
^CNXMETAL,0.012609,0.000362,0.079911,0.000616,1,1,1,0,0,-3.254003,0.626984,34.411000,0,1,1.000000
^CNXPHARMA,0.002709,0.000121,-0.024272,-0.000432,1,1,1,0,0,-5.874309,0.015873,36.080244,1,1,0.904762
^CNXREALTY,0.015729,0.000685,0.008000,0.000008,1,1,1,0,0,-15.398024,0.555556,78.859716,0,1,0.857143
^NSEBANK,0.009593,0.000388,0.010896,0.000492,1,1,1,0,0,-0.870852,0.611111,55.869519,0,0,1.000000
