,price_latest
^CNXAUTO,26779.55
^CNXENERGY,35790.30
^CNXFMCG,55437.20
^CNXINFRA,9393.60
^CNXIT,35117.65
^CNXMEDIA,1489.65
^CNXMETAL,10426.80
^CNXPHARMA,22169.80
^CNXREALTY,946.40
^NSEBANK,57876.80
^NSEI,25492.30
