skipped,symbol,direction,entry_ts,entry_price,exit_ts,exit_price,qty,buy_turnover,sell_turnover,gross_pnl,fees,net_pnl,exit_reason,capital_per_trade,leverage
False,HDFCBANK.NS,short,2025-08-05 09:35:00+05:30,986.1500244140625,2025-08-05 09:50:00+05:30,987.75,507,500789.25,499978.0623779297,-811.1876220703125,224.65289518129126,-1035.8405172516038,stop_hit,100000.0,5.0
False,HDFCBANK.NS,long,2025-08-06 09:35:00+05:30,988.25,2025-08-06 09:40:00+05:30,986.6500244140625,505,499066.25,498258.26232910156,-807.9876708984375,224.04247379045776,-1032.0301446888952,stop_hit,100000.0,5.0
False,HDFCBANK.NS,short,2025-08-07 10:25:00+05:30,990.9500122070312,2025-08-07 11:20:00+05:30,990.9500122070312,504,499438.80615234375,499438.80615234375,0.0,224.4068816885254,-224.4068816885254,trail_hit,100000.0,5.0
False,HDFCBANK.NS,short,2025-08-08 09:35:00+05:30,991.4000244140625,2025-08-08 09:50:00+05:30,992.75,504,500346.0,499665.6123046875,-680.3876953125,224.53321744604102,-904.920912758541,stop_hit,100000.0,5.0
False,HDFCBANK.NS,short,2025-08-11 09:50:00+05:30,990.6500244140625,2025-08-11 10:05:00+05:30,991.0,504,499464.0,499287.6123046875,-176.3876953125,224.36512588604103,-400.752821198541,trail_hit,100000.0,5.0
False,HDFCBANK.NS,long,2025-08-12 09:40:00+05:30,996.3499755859375,2025-08-12 10:15:00+05:30,995.7000122070312,501,499171.3377685547,498845.70611572266,-325.63165283203125,224.2183922055226,-549.8500450375539,trail_hit,100000.0,5.0
False,HDFCBANK.NS,short,2025-08-13 10:15:00+05:30,986.5499877929688,2025-08-13 10:30:00+05:30,986.5499877929688,506,499194.2938232422,499194.2938232422,0.0,224.32012578001223,-224.32012578001223,trail_hit,100000.0,5.0
False,HDFCBANK.NS,long,2025-08-14 09:45:00+05:30,996.4500122070312,2025-08-14 10:00:00+05:30,994.7999877929688,501,499221.45611572266,498394.79388427734,-826.6622314453125,224.09217560204104,-1050.7544070473537,stop_hit,100000.0,5.0
False,HDFCBANK.NS,long,2025-08-18 09:35:00+05:30,1011.2000122070312,2025-08-18 09:40:00+05:30,1009.6500244140625,494,499532.80603027344,498767.1120605469,-765.6939697265625,224.22016893215013,-989.9141386587127,stop_hit,100000.0,5.0
False,HDFCBANK.NS,short,2025-08-19 09:40:00+05:30,999.6500244140625,2025-08-19 09:55:00+05:30,999.9500122070312,500,499975.0061035156,499825.01220703125,-149.993896484375,224.5540227197876,-374.5479192041626,trail_hit,100000.0,5.0
False,HDFCBANK.NS,short,2025-08-20 11:00:00+05:30,989.9500122070312,2025-08-20 11:10:00+05:30,990.6500244140625,505,500278.26232910156,499924.7561645508,-353.50616455078125,224.6031310207843,-578.1092955715656,stop_hit,100000.0,5.0
False,HDFCBANK.NS,short,2025-08-21 09:40:00+05:30,991.75,2025-08-21 09:50:00+05:30,994.0,504,500976.0,499842.0,-1134.0,224.62637810799998,-1358.626378108,stop_hit,100000.0,5.0
False,HDFCBANK.NS,short,2025-08-22 09:35:00+05:30,987.4500122070312,2025-08-22 10:15:00+05:30,982.6500244140625,506,497220.9123535156,499649.7061767578,2428.7938232421875,224.31799627153833,2204.475826970649,target_hit,100000.0,5.0
False,HDFCBANK.NS,short,2025-08-25 09:50:00+05:30,983.6500244140625,2025-08-25 10:25:00+05:30,983.7000122070312,508,499719.6062011719,499694.21240234375,-25.393798828125,224.4992145853042,-249.8930134134292,trail_hit,100000.0,5.0
False,HDFCBANK.NS,short,2025-08-26 09:40:00+05:30,968.5999755859375,2025-08-26 09:50:00+05:30,971.0999755859375,516,501087.58740234375,499797.58740234375,-1290.0,224.6211353214004,-1514.6211353214003,stop_hit,100000.0,5.0
False,HDFCBANK.NS,long,2025-08-28 10:10:00+05:30,961.2000122070312,2025-08-28 10:20:00+05:30,959.7000122070312,520,499824.00634765625,499044.00634765625,-780.0,224.3193786602246,-1004.3193786602246,stop_hit,100000.0,5.0
False,HDFCBANK.NS,long,2025-08-29 09:45:00+05:30,961.2999877929688,2025-08-29 10:15:00+05:30,960.9000244140625,520,499875.99365234375,499668.0126953125,-207.98095703125,224.50222608483887,-432.48318311608887,trail_hit,100000.0,5.0
