Ticker,EntryTime,EntryPrice,Size,ExitTime,ExitPrice,PnL,ExitReason
ICICIBANK.NS,2025-09-01 11:45:00+05:30,1405.4023011474608,355,2025-09-01 12:00:00+05:30,1401.598898803711,-1848.450545022465,Below VWAP/EMA
ICICIBANK.NS,2025-09-02 10:00:00+05:30,1409.8045255737304,354,2025-09-02 12:00:00+05:30,1404.9971011962891,-2200.0481175525115,Below VWAP/EMA
ICICIBANK.NS,2025-09-04 11:15:00+05:30,1409.8045255737304,354,2025-09-05 09:45:00+05:30,1400.79925,-3685.344421377107,Below VWAP/EMA
ICICIBANK.NS,2025-09-09 13:45:00+05:30,1402.000698852539,356,2025-09-10 13:15:00+05:30,1404.2975000000001,318.1401291004033,Below VWAP/EMA
ICICIBANK.NS,2025-09-10 14:00:00+05:30,1409.20425,354,2025-09-11 10:00:00+05:30,1403.3979255981446,-2553.26942333767,Below VWAP/EMA
ICICIBANK.NS,2025-09-12 11:15:00+05:30,1408.704,354,2025-09-15 13:45:00+05:30,1420.4893511962891,3671.2471003246287,Below VWAP/EMA
ICICIBANK.NS,2025-09-16 10:00:00+05:30,1423.6114744262695,351,2025-09-16 10:15:00+05:30,1420.589398803711,-1559.9057967699064,Below VWAP/EMA
ICICIBANK.NS,2025-09-17 10:00:00+05:30,1424.21175,351,2025-09-17 11:15:00+05:30,1419.589898803711,-2121.356959262436,Below VWAP/EMA
ICICIBANK.NS,2025-10-01 10:00:00+05:30,1360.0797244262694,367,2025-10-03 10:15:00+05:30,1367.615898803711,2265.2438496583336,Below VWAP/EMA
ICICIBANK.NS,2025-10-06 10:15:00+05:30,1370.985198852539,364,2025-10-06 10:30:00+05:30,1366.616398803711,-2088.4867085468322,Below VWAP/EMA
ICICIBANK.NS,2025-10-07 10:00:00+05:30,1378.3888011474608,362,2025-10-08 10:00:00+05:30,1376.81125,-1069.7647246384931,Below VWAP/EMA
ICICIBANK.NS,2025-10-09 10:45:00+05:30,1372.3858011474608,364,2025-10-13 10:00:00+05:30,1377.5108511962892,1365.0370270469643,Below VWAP/EMA
ICICIBANK.NS,2025-10-13 10:30:00+05:30,1382.490948852539,361,2025-10-13 10:45:00+05:30,1380.109648803711,-1358.29872550388,Below VWAP/EMA
ICICIBANK.NS,2025-10-14 10:00:00+05:30,1381.2902755737305,361,2025-10-14 11:15:00+05:30,1376.511351196289,-2222.9748938883336,Below VWAP/EMA
ICICIBANK.NS,2025-10-15 10:15:00+05:30,1390.494948852539,359,2025-10-17 14:00:00+05:30,1423.1880744018556,11231.775969530503,Below VWAP/EMA
